Id;Marker;Active;X;Y;Z
0;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;2;1;9.9999999999999989e-01;-1.1102230246251565e-16;0.0000000000000000e+00
2;3;1;1.0000000000000000e+00;9.9999999999999978e-01;0.0000000000000000e+00
3;4;1;1.1102230246251565e-16;9.9999999999999989e-01;0.0000000000000000e+00
4;0;1;5.0000000000000000e-01;4.9999999999999989e-01;0.0000000000000000e+00
5;8;1;5.5511151231257827e-17;4.9999999999999994e-01;0.0000000000000000e+00
6;5;1;4.9999999999999994e-01;-5.5511151231257827e-17;0.0000000000000000e+00
7;6;1;1.0000000000000000e+00;4.9999999999999983e-01;0.0000000000000000e+00
8;6;1;1.0000000000000000e+00;2.4999999999999986e-01;0.0000000000000000e+00
9;0;1;7.5000000000000000e-01;3.7499999999999983e-01;0.0000000000000000e+00
10;6;1;1.0000000000000000e+00;3.7499999999999983e-01;0.0000000000000000e+00
11;0;1;8.7500000000000000e-01;3.1249999999999983e-01;0.0000000000000000e+00
12;6;1;1.0000000000000000e+00;3.1249999999999983e-01;0.0000000000000000e+00
13;0;1;9.3750000000000000e-01;2.8124999999999983e-01;0.0000000000000000e+00
14;0;1;9.3359375000000000e-01;3.5156249999999983e-01;0.0000000000000000e+00
15;5;1;7.4999999999999989e-01;-8.3266726846886741e-17;0.0000000000000000e+00
16;6;1;1.0000000000000000e+00;1.2499999999999988e-01;0.0000000000000000e+00
17;6;1;1.0000000000000000e+00;4.3749999999999983e-01;0.0000000000000000e+00
18;0;1;8.4849330357142860e-01;4.1573660714285698e-01;0.0000000000000000e+00
19;0;1;8.3203125000000000e-01;1.4843749999999986e-01;0.0000000000000000e+00
20;0;1;9.2968750000000000e-01;1.8749999999999986e-01;0.0000000000000000e+00
21;0;1;8.7981305803571430e-01;3.6875697544642838e-01;0.0000000000000000e+00
22;0;1;9.2742050134572285e-01;4.2495844782375947e-01;0.0000000000000000e+00
23;0;1;8.1428730970610397e-01;3.5900287722966440e-01;0.0000000000000000e+00
24;0;1;9.5234375000000004e-01;2.3281249999999984e-01;0.0000000000000000e+00
25;6;1;1.0000000000000000e+00;1.8749999999999986e-01;0.0000000000000000e+00
26;0;1;8.7734374999999998e-01;2.3906249999999984e-01;0.0000000000000000e+00
27;0;1;9.5718862530989324e-01;3.9050462412196907e-01;0.0000000000000000e+00
28;0;1;7.5310140623912569e-01;2.5028994880446820e-01;0.0000000000000000e+00
29;0;1;4.9999999999999994e-01;1.1970612271342659e-01;0.0000000000000000e+00
30;5;1;8.7499999999999989e-01;-9.7144514654701197e-17;0.0000000000000000e+00
31;0;1;9.0773362379807698e-01;1.0078312800480743e-01;0.0000000000000000e+00
32;0;1;8.1786529632657468e-01;2.7392040174446503e-01;0.0000000000000000e+00
33;0;1;8.1652914480374805e-01;2.1022850279800215e-01;0.0000000000000000e+00
34;0;1;7.6907559935068459e-01;3.1448511156037462e-01;0.0000000000000000e+00
35;0;1;7.3916231372902808e-01;1.5797865647774567e-01;0.0000000000000000e+00
36;0;1;6.4967501621489143e-01;3.1011143449945605e-01;0.0000000000000000e+00
37;0;1;7.8732837339725981e-01;1.7006254070125948e-01;0.0000000000000000e+00
38;0;1;7.7989104609390847e-01;9.7671245477006147e-02;0.0000000000000000e+00
39;0;1;2.6492236614150216e-01;4.9999999999999989e-01;0.0000000000000000e+00
40;0;1;6.9257535341745946e-01;3.5378382109048417e-01;0.0000000000000000e+00
41;0;1;6.5735471088299335e-01;2.1224334614583124e-01;0.0000000000000000e+00
42;0;1;6.6483908313180973e-01;5.1717816626361923e-01;0.0000000000000000e+00
43;0;1;5.8696787797948913e-01;4.1461718453715934e-01;0.0000000000000000e+00
44;0;1;7.0059686419689826e-01;2.4292134263673515e-01;0.0000000000000000e+00
45;0;1;6.9406014135177285e-01;4.3808715990447578e-01;0.0000000000000000e+00
46;0;1;6.3187943655819090e-01;3.7049958168293373e-01;0.0000000000000000e+00
47;0;1;6.5520221341239204e-01;4.9999999999999989e-01;0.0000000000000000e+00
48;0;1;7.1072640525475017e-01;4.9999999999999989e-01;0.0000000000000000e+00
49;0;1;6.7163941373163472e-01;3.9631729896078399e-01;0.0000000000000000e+00
50;0;1;5.2440841239406455e-01;3.0601317432134090e-01;0.0000000000000000e+00
51;0;1;6.8456139895487456e-01;7.7196996401416224e-02;0.0000000000000000e+00
52;5;1;8.1249999999999989e-01;-9.0205620750793969e-17;0.0000000000000000e+00
53;0;1;8.8676289824682508e-01;5.1886881527011527e-02;0.0000000000000000e+00
54;0;1;6.0635335443729543e-01;4.9999999999999989e-01;0.0000000000000000e+00
55;0;1;5.8651002903086125e-01;3.2431369051886982e-01;0.0000000000000000e+00
56;0;1;7.2810848649320115e-01;1.0660661031431944e-01;0.0000000000000000e+00
57;0;1;6.7069917359052467e-01;1.4466801656108991e-01;0.0000000000000000e+00
58;0;1;7.3321264465864255e-01;5.2103741321366269e-02;0.0000000000000000e+00
59;5;1;6.8749999999999989e-01;-7.6327832942979512e-17;0.0000000000000000e+00
60;0;1;8.0352444765280040e-01;5.1282489915081837e-02;0.0000000000000000e+00
61;0;1;6.2190992224599850e-01;4.9999999999999989e-01;0.0000000000000000e+00
62;0;1;9.5889083933260244e-01;9.3749999999999889e-02;0.0000000000000000e+00
63;0;1;5.3938639656048770e-01;3.6970552035811610e-01;0.0000000000000000e+00
64;0;1;5.7754437796860947e-01;2.4021888143144091e-01;0.0000000000000000e+00
65;0;1;5.8554928202178258e-01;9.2014048902264473e-02;0.0000000000000000e+00
66;0;1;9.3631055819367159e-01;4.9586756397346644e-02;0.0000000000000000e+00
67;0;1;5.2217347507775003e-01;4.3560251692849861e-01;0.0000000000000000e+00
68;0;1;6.0957471615692760e-01;2.7932934624251887e-01;0.0000000000000000e+00
69;0;1;6.3776958556016627e-01;1.0274294576095594e-01;0.0000000000000000e+00
70;0;1;5.9746777125787587e-01;1.6645297301662504e-01;0.0000000000000000e+00
71;0;1;6.2084258634544875e-01;5.2681729327409180e-02;0.0000000000000000e+00
72;5;1;5.6249999999999989e-01;-6.2450045135165055e-17;0.0000000000000000e+00
73;0;1;5.3124999999999989e-01;5.6721961743890374e-02;0.0000000000000000e+00
74;0;1;3.3760900692691637e-01;4.0806904607330896e-01;0.0000000000000000e+00
75;0;1;4.2733603374742790e-01;4.3896404224569330e-01;0.0000000000000000e+00
76;0;1;3.1229605529101212e-01;4.9999999999999989e-01;0.0000000000000000e+00
77;0;1;5.0000000000000000e-01;5.5638109790313139e-01;0.0000000000000000e+00
78;0;1;4.7230201659660620e-01;3.8644258295576611e-01;0.0000000000000000e+00
79;5;1;3.7499999999999994e-01;-4.1633363423443370e-17;0.0000000000000000e+00
80;0;1;4.0068110351171593e-01;3.7063412845212551e-01;0.0000000000000000e+00
81;0;1;4.3749999999999994e-01;7.1402620740174158e-02;0.0000000000000000e+00
82;0;1;4.5047059563552461e-01;3.1520570720545665e-01;0.0000000000000000e+00
83;0;1;4.9999999999999994e-01;5.0618106601794680e-02;0.0000000000000000e+00
84;7;1;5.0000000000000000e-01;9.9999999999999978e-01;0.0000000000000000e+00
85;0;1;3.3966723771082435e-01;5.3981734629421074e-01;0.0000000000000000e+00
86;0;1;3.5086484863014616e-01;4.7375218480495579e-01;0.0000000000000000e+00
87;0;1;2.6830067055046158e-01;2.1944426078660786e-01;0.0000000000000000e+00
88;0;1;4.8171030951052052e-01;4.7045702718865150e-02;0.0000000000000000e+00
89;0;1;4.9315272895600143e-01;1.2011645678279231e-01;0.0000000000000000e+00
90;5;1;4.3749999999999994e-01;-4.8572257327350599e-17;0.0000000000000000e+00
91;0;1;5.0000000000000000e-01;6.6877323960348178e-01;0.0000000000000000e+00
92;0;1;3.2045991183152400e-01;3.0732458517143896e-01;0.0000000000000000e+00
93;0;1;3.8737032670300225e-01;1.8481978515596159e-01;0.0000000000000000e+00
94;0;1;5.0000000000000000e-01;6.3565318420947903e-01;0.0000000000000000e+00
95;0;1;3.4840053459343895e-01;3.5440025060529923e-01;0.0000000000000000e+00
96;0;1;3.8613766615831213e-01;3.0017271559701214e-01;0.0000000000000000e+00
97;0;1;4.3015343543619811e-01;1.3594256776456948e-01;0.0000000000000000e+00
98;0;1;3.1088839117726613e-01;5.0095797934846997e-01;0.0000000000000000e+00
99;0;1;3.4658206560426258e-01;2.4206697342665662e-01;0.0000000000000000e+00
100;0;1;4.3342155914106972e-01;2.4299493959963908e-01;0.0000000000000000e+00
101;0;1;3.3466577521126090e-01;9.5523520422710367e-02;0.0000000000000000e+00
102;0;1;4.9999999999999994e-01;2.0538354358585265e-01;0.0000000000000000e+00
103;8;1;2.7755575615628914e-17;2.4999999999999997e-01;0.0000000000000000e+00
104;0;1;1.7217226094030968e-01;3.2217678114781600e-01;0.0000000000000000e+00
105;0;1;2.2977042108005022e-01;2.7973159056029856e-01;0.0000000000000000e+00
106;0;1;3.2175561840792233e-01;1.8122400244774689e-01;0.0000000000000000e+00
107;0;1;5.0000000000000000e-01;9.3694313216499969e-01;0.0000000000000000e+00
108;0;1;4.7674252932449163e-01;1.8809635432904745e-01;0.0000000000000000e+00
109;0;1;4.8233642588737363e-01;2.6956412058382823e-01;0.0000000000000000e+00
110;0;1;3.8964356296828856e-01;9.8643237800014674e-02;0.0000000000000000e+00
111;0;1;3.6471661038483688e-01;5.1935101965951087e-02;0.0000000000000000e+00
112;5;1;3.1249999999999994e-01;-3.4694469519536142e-17;0.0000000000000000e+00
113;0;1;2.8125000000000000e-01;5.7584903941377198e-02;0.0000000000000000e+00
114;0;1;2.5184931076610656e-01;3.6999563457942952e-01;0.0000000000000000e+00
115;0;1;3.0186360231489873e-01;3.7296213069401929e-01;0.0000000000000000e+00
116;0;1;2.7915925213180109e-01;4.3183061545214407e-01;0.0000000000000000e+00
117;0;1;1.2377119330253318e-01;1.9619351900516482e-01;0.0000000000000000e+00
118;0;1;3.5677395360898950e-01;1.4267660916001185e-01;0.0000000000000000e+00
119;0;1;4.3166741133113951e-01;1.9706894836112560e-01;0.0000000000000000e+00
120;0;1;5.3512304887374396e-01;1.6621864291051777e-01;0.0000000000000000e+00
121;0;1;5.4272120924679834e-01;1.1714598342204745e-01;0.0000000000000000e+00
122;0;1;5.2288475183976257e-01;2.2239369235347439e-01;0.0000000000000000e+00
123;0;1;1.6866790292915762e-01;4.9999999999999994e-01;0.0000000000000000e+00
124;0;1;2.7025175140771007e-01;1.2964266616465789e-01;0.0000000000000000e+00
125;0;1;8.0931787922815634e-01;4.9999999999999983e-01;0.0000000000000000e+00
126;0;1;2.2493688647356161e-01;4.5027277017496353e-01;0.0000000000000000e+00
127;0;1;1.6468322544996139e-01;4.0017688314468380e-01;0.0000000000000000e+00
128;0;1;1.9488404700534601e-01;2.1497914856929551e-01;0.0000000000000000e+00
129;5;1;1.2499999999999999e-01;-1.3877787807814457e-17;0.0000000000000000e+00
130;0;1;1.7592571395795578e-01;2.6696724839927599e-01;0.0000000000000000e+00
131;8;1;4.1633363423443370e-17;3.7499999999999994e-01;0.0000000000000000e+00
132;0;1;8.5065747894994534e-02;2.8852243615194034e-01;0.0000000000000000e+00
133;0;1;1.8031001368817390e-01;1.2615764726698156e-01;0.0000000000000000e+00
134;0;1;2.3423369538095262e-01;1.7378210971948657e-01;0.0000000000000000e+00
135;0;1;4.9999999999999994e-01;4.1374539455899012e-01;0.0000000000000000e+00
136;0;1;2.0885641322859960e-01;5.9599455459176748e-02;0.0000000000000000e+00
137;0;1;2.4590099575837385e-01;8.9057767908422625e-02;0.0000000000000000e+00
138;0;1;1.3903020446099412e-01;6.9052207115450792e-02;0.0000000000000000e+00
139;5;1;1.8749999999999997e-01;-2.0816681711721685e-17;0.0000000000000000e+00
140;0;1;1.1791540365939047e-01;4.9999999999999994e-01;0.0000000000000000e+00
141;5;1;6.2499999999999993e-02;-6.9388939039072284e-18;0.0000000000000000e+00
142;8;1;6.9388939039072299e-18;6.2500000000000000e-02;0.0000000000000000e+00
143;0;1;6.8196750121136671e-02;9.3750000000000000e-02;0.0000000000000000e+00
144;0;1;1.1941058577214297e-01;1.2670732859276487e-01;0.0000000000000000e+00
145;0;1;5.9140296603460887e-02;1.6536951224241767e-01;0.0000000000000000e+00
146;0;1;6.9141484053697383e-02;2.2756942033064348e-01;0.0000000000000000e+00
147;8;1;2.0816681711721685e-17;1.8749999999999997e-01;0.0000000000000000e+00
148;6;1;1.0000000000000000e+00;7.4999999999999978e-01;0.0000000000000000e+00
149;0;1;7.7514514783684119e-01;4.5364111791356682e-01;0.0000000000000000e+00
150;0;1;7.9160823093489807e-01;4.0503653671002954e-01;0.0000000000000000e+00
151;0;1;6.3303383126755064e-01;4.6048383288691419e-01;0.0000000000000000e+00
152;0;1;5.8047622388322473e-01;5.2723686544634285e-01;0.0000000000000000e+00
153;0;1;5.5108372851319409e-01;4.8157310544108456e-01;0.0000000000000000e+00
154;0;1;3.6789092937221796e-01;4.9999999999999989e-01;0.0000000000000000e+00
155;0;1;4.9999999999999994e-01;1.2763782342369698e-01;0.0000000000000000e+00
156;0;1;4.9129956389063117e-01;3.4165685754988251e-01;0.0000000000000000e+00
157;0;1;2.1412174093795222e-01;4.0199737647720435e-01;0.0000000000000000e+00
158;0;1;7.8787171556397895e-01;4.9999999999999983e-01;0.0000000000000000e+00
159;0;1;1.2405345780205754e-01;2.5058921161400283e-01;0.0000000000000000e+00
160;0;1;1.0924509010921844e-01;3.5549451920015657e-01;0.0000000000000000e+00
161;0;1;1.2623964989260805e-01;3.1150801928008298e-01;0.0000000000000000e+00
162;0;1;1.1288120276941310e-01;4.0771581496668446e-01;0.0000000000000000e+00
163;0;1;5.4454755618415458e-02;3.9820978199240648e-01;0.0000000000000000e+00
