Id;Marker;Active;Origin;End
0;0;1;1628;1880
1;0;1;2536;2542
2;0;1;3015;3014
3;0;1;409;417
4;0;1;417;387
5;0;1;1030;859
6;0;1;1781;1726
7;0;1;1725;1781
8;0;1;1639;1729
9;0;1;42;24
10;0;1;24;43
11;0;1;2242;2240
12;0;1;1985;1950
13;0;1;2103;928
14;0;1;1881;1882
15;0;1;1387;1929
16;0;1;159;137
17;0;1;137;158
18;0;1;76;27
19;0;1;1923;1906
20;0;1;2547;2551
21;0;1;115;2707
22;0;1;1790;2518
23;0;1;2717;115
24;0;1;1791;2616
25;0;1;2143;2112
26;0;1;2112;2145
27;0;1;39;26
28;0;1;26;31
29;0;1;1721;1629
30;0;1;1752;1750
31;0;1;20;17
32;0;1;17;23
33;0;1;1811;1785
34;0;1;1775;1806
35;0;1;3047;3066
36;0;1;42;44
37;0;1;2129;2139
38;0;1;46;42
39;0;1;2857;2848
40;0;1;2939;2940
41;0;1;2138;2215
42;0;1;26;37
43;0;1;1922;1946
44;0;1;2640;2946
45;0;1;44;21
46;0;1;278;2310
47;0;1;3108;2881
48;0;1;2996;3034
49;0;1;106;111
50;0;1;3027;3051
51;0;1;56;54
52;0;1;54;55
53;0;1;1927;1949
54;0;1;1523;2622
55;0;1;128;124
56;0;1;2198;2195
57;0;1;2175;2236
58;0;1;2548;2608
59;0;1;2608;2609
60;0;1;121;15
61;0;1;15;23
62;0;1;37;53
63;0;1;53;13
64;0;1;1750;1751
65;0;1;15;128
66;0;1;128;20
67;0;1;21;20
68;0;1;1695;953
69;0;1;1752;1794
70;0;1;34;27
71;0;1;27;38
72;0;1;1816;1817
73;0;1;25;13
74;0;1;23;25
75;0;1;2204;9
76;0;1;9;2748
77;0;1;26;25
78;7;1;475;1069
79;0;1;17;43
80;0;1;25;24
81;0;1;24;31
82;0;1;34;29
83;0;1;2273;2213
84;0;1;32;34
85;0;1;50;41
86;0;1;41;52
87;0;1;3038;3045
88;8;1;1783;1784
89;0;1;2487;2482
90;0;1;1430;2594
91;0;1;1786;2629
92;0;1;33;70
93;0;1;70;69
94;0;1;2055;82
