Id;Marker;Active;X;Y;Z
0; 1; 1; 6.1232339957367660e-17; 1.0000000000000000e+00; 0.0000000000000000e+00
1; 1; 1; -1.0000000000000000e+00; 1.2246467991473532e-16; 0.0000000000000000e+00
2; 1; 1; -1.8369701987210297e-16; -1.0000000000000000e+00; 0.0000000000000000e+00
3; 1; 1; 1.0000000000000000e+00; -2.4492935982947064e-16; 0.0000000000000000e+00
4; 1; 1; -9.8108974968533977e-02; 9.9517567747138169e-01; 0.0000000000000000e+00
5; 1; 1; -1.9509464000170562e-01; 9.8078442149261569e-01; 0.0000000000000000e+00
6; 1; 1; -2.9020475714579258e-01; 9.5696457558780701e-01; 0.0000000000000000e+00
7; 1; 1; -3.8268612015807679e-01; 9.2387841918639813e-01; 0.0000000000000000e+00
8; 1; 1; -4.7147553632611128e-01; 8.8187914061168593e-01; 0.0000000000000000e+00
9; 1; 1; -5.5557144817540693e-01; 8.3146880036011039e-01; 0.0000000000000000e+00
10; 1; 1; -6.3432646068417242e-01; 7.7306528914179751e-01; 0.0000000000000000e+00
11; 1; 1; -7.0710678118654746e-01; 7.0710678118654757e-01; 0.0000000000000000e+00
12; 1; 1; -7.7306528914179740e-01; 6.3432646068417264e-01; 0.0000000000000000e+00
13; 1; 1; -8.3146880036011028e-01; 5.5557144817540705e-01; 0.0000000000000000e+00
14; 1; 1; -8.8187914061168560e-01; 4.7147553632611183e-01; 0.0000000000000000e+00
15; 1; 1; -9.2387841918639813e-01; 3.8268612015807696e-01; 0.0000000000000000e+00
16; 1; 1; -9.5696457558780690e-01; 2.9020475714579297e-01; 0.0000000000000000e+00
17; 1; 1; -9.8078442149261558e-01; 1.9509464000170623e-01; 0.0000000000000000e+00
18; 1; 1; -9.9517567747138169e-01; 9.8108974968534601e-02; 0.0000000000000000e+00
19; 1; 1; 9.9517567747138169e-01; 9.8108974968534116e-02; 0.0000000000000000e+00
20; 1; 1; 9.8078442149261569e-01; 1.9509464000170582e-01; 0.0000000000000000e+00
21; 1; 1; 9.5696457558780690e-01; 2.9020475714579286e-01; 0.0000000000000000e+00
22; 1; 1; 9.2387841918639813e-01; 3.8268612015807696e-01; 0.0000000000000000e+00
23; 1; 1; 8.8187914061168571e-01; 4.7147553632611178e-01; 0.0000000000000000e+00
24; 1; 1; 8.3146880036011006e-01; 5.5557144817540749e-01; 0.0000000000000000e+00
25; 1; 1; 7.7306528914179717e-01; 6.3432646068417298e-01; 0.0000000000000000e+00
26; 1; 1; 7.0710678118654713e-01; 7.0710678118654791e-01; 0.0000000000000000e+00
