Id;Marker;Active;Origin;End
0; 0; 1; 434; 244
1; 1; 1; 244; 245
2; 0; 1; 245; 434
3; 0; 1; 252; 189
4; 1; 1; 189; 3
5; 0; 1; 3; 252
6; 0; 1; 557; 305
7; 0; 1; 305; 558
8; 0; 1; 558; 557
9; 0; 1; 493; 178
10; 1; 1; 178; 179
11; 0; 1; 179; 493
12; 0; 1; 281; 280
13; 0; 1; 280; 93
14; 0; 1; 93; 281
15; 0; 1; 485; 171
16; 0; 1; 171; 486
17; 0; 1; 486; 485
18; 0; 1; 261; 73
19; 1; 1; 73; 74
20; 0; 1; 74; 261
21; 0; 1; 467; 152
22; 1; 1; 152; 153
23; 0; 1; 153; 467
24; 0; 1; 315; 127
25; 1; 1; 127; 0
26; 0; 1; 0; 315
27; 0; 1; 437; 247
28; 1; 1; 247; 248
29; 0; 1; 248; 437
30; 0; 1; 346; 33
31; 1; 1; 33; 34
32; 0; 1; 34; 346
33; 0; 1; 782; 530
34; 0; 1; 530; 783
35; 0; 1; 783; 782
36; 0; 1; 309; 122
37; 0; 1; 122; 310
38; 0; 1; 310; 309
39; 0; 1; 307; 306
40; 0; 1; 306; 119
41; 0; 1; 119; 307
42; 0; 1; 384; 195
43; 0; 1; 195; 385
44; 0; 1; 385; 384
45; 0; 1; 476; 162
46; 0; 1; 162; 477
47; 0; 1; 477; 476
48; 0; 1; 460; 145
49; 1; 1; 145; 146
50; 0; 1; 146; 460
51; 0; 1; 507; 255
52; 0; 1; 255; 508
53; 0; 1; 508; 507
54; 0; 1; 264; 76
55; 1; 1; 76; 77
56; 0; 1; 77; 264
57; 0; 1; 256; 69
58; 0; 1; 69; 257
59; 0; 1; 257; 256
60; 0; 1; 280; 279
61; 0; 1; 279; 92
62; 0; 1; 92; 280
63; 0; 1; 248; 438
64; 0; 1; 438; 437
65; 0; 1; 498; 184
66; 0; 1; 184; 499
67; 0; 1; 499; 498
68; 0; 1; 262; 74
69; 1; 1; 74; 75
70; 0; 1; 75; 262
71; 0; 1; 516; 264
72; 0; 1; 264; 517
73; 0; 1; 517; 516
74; 0; 1; 435; 245
75; 1; 1; 245; 246
76; 0; 1; 246; 435
77; 0; 1; 413; 223
78; 1; 1; 223; 224
79; 0; 1; 224; 413
80; 0; 1; 267; 80
81; 0; 1; 80; 268
82; 0; 1; 268; 267
83; 0; 1; 749; 496
84; 0; 1; 496; 497
85; 0; 1; 497; 749
86; 0; 1; 270; 269
87; 0; 1; 269; 82
88; 0; 1; 82; 270
89; 1; 1; 80; 81
90; 0; 1; 81; 268
91; 0; 1; 290; 102
92; 1; 1; 102; 103
93; 0; 1; 103; 290
94; 0; 1; 993; 740
95; 0; 1; 740; 741
96; 0; 1; 741; 993
97; 0; 1; 279; 91
98; 1; 1; 91; 92
99; 0; 1; 291; 103
100; 1; 1; 103; 104
101; 0; 1; 104; 291
102; 0; 1; 276; 88
103; 1; 1; 88; 89
104; 0; 1; 89; 276
105; 1; 1; 93; 94
106; 0; 1; 94; 281
107; 0; 1; 557; 304
108; 0; 1; 304; 305
109; 0; 1; 503; 188
110; 1; 1; 188; 189
111; 0; 1; 189; 503
112; 0; 1; 530; 529
113; 0; 1; 529; 277
114; 0; 1; 277; 530
115; 0; 1; 289; 288
116; 0; 1; 288; 101
117; 0; 1; 101; 289
118; 0; 1; 283; 95
119; 1; 1; 95; 96
120; 0; 1; 96; 283
121; 0; 1; 284; 96
122; 1; 1; 96; 97
123; 0; 1; 97; 284
124; 0; 1; 253; 3
125; 1; 1; 3; 66
126; 0; 1; 66; 253
127; 0; 1; 978; 725
128; 0; 1; 725; 726
129; 0; 1; 726; 978
130; 0; 1; 294; 293
131; 0; 1; 293; 106
132; 0; 1; 106; 294
133; 0; 1; 292; 104
134; 1; 1; 104; 105
135; 0; 1; 105; 292
136; 0; 1; 877; 624
