Id;Marker;Active;X;Y;Z
0;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;5;1;2.5000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
2;5;1;5.0000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
3;5;1;7.5000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
4;2;1;1.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
5;8;1;0.0000000000000000e+00;1.2500000000000000e-01;0.0000000000000000e+00
6;0;1;1.2500000000000000e-01;1.4374999999999999e-01;0.0000000000000000e+00
7;0;1;2.5000000000000000e-01;1.2500000000000000e-01;0.0000000000000000e+00
8;0;1;3.7500000000000000e-01;1.4374999999999999e-01;0.0000000000000000e+00
9;0;1;5.0000000000000000e-01;1.2500000000000000e-01;0.0000000000000000e+00
10;0;1;6.2500000000000000e-01;1.4374999999999999e-01;0.0000000000000000e+00
11;0;1;7.5000000000000000e-01;1.2500000000000000e-01;0.0000000000000000e+00
12;0;1;8.7500000000000000e-01;1.4374999999999999e-01;0.0000000000000000e+00
13;6;1;1.0000000000000000e+00;1.2500000000000000e-01;0.0000000000000000e+00
14;8;1;0.0000000000000000e+00;2.5000000000000000e-01;0.0000000000000000e+00
15;0;1;2.5000000000000000e-01;2.5000000000000000e-01;0.0000000000000000e+00
16;0;1;5.0000000000000000e-01;2.5000000000000000e-01;0.0000000000000000e+00
17;0;1;7.5000000000000000e-01;2.5000000000000000e-01;0.0000000000000000e+00
18;6;1;1.0000000000000000e+00;2.5000000000000000e-01;0.0000000000000000e+00
19;8;1;0.0000000000000000e+00;3.7500000000000000e-01;0.0000000000000000e+00
20;0;1;1.2500000000000000e-01;3.9374999999999999e-01;0.0000000000000000e+00
21;0;1;2.5000000000000000e-01;3.7500000000000000e-01;0.0000000000000000e+00
22;0;1;3.7500000000000000e-01;3.9374999999999999e-01;0.0000000000000000e+00
23;0;1;5.0000000000000000e-01;3.7500000000000000e-01;0.0000000000000000e+00
24;0;1;6.2500000000000000e-01;3.9374999999999999e-01;0.0000000000000000e+00
25;0;1;7.5000000000000000e-01;3.7500000000000000e-01;0.0000000000000000e+00
26;0;1;8.7500000000000000e-01;3.9374999999999999e-01;0.0000000000000000e+00
27;6;1;1.0000000000000000e+00;3.7500000000000000e-01;0.0000000000000000e+00
28;8;1;0.0000000000000000e+00;5.0000000000000000e-01;0.0000000000000000e+00
29;0;1;2.5000000000000000e-01;5.0000000000000000e-01;0.0000000000000000e+00
30;0;1;5.0000000000000000e-01;5.0000000000000000e-01;0.0000000000000000e+00
31;0;1;7.5000000000000000e-01;5.0000000000000000e-01;0.0000000000000000e+00
32;6;1;1.0000000000000000e+00;5.0000000000000000e-01;0.0000000000000000e+00
33;8;1;0.0000000000000000e+00;6.2500000000000000e-01;0.0000000000000000e+00
34;0;1;1.2500000000000000e-01;6.4375000000000004e-01;0.0000000000000000e+00
35;0;1;2.5000000000000000e-01;6.2500000000000000e-01;0.0000000000000000e+00
36;0;1;3.7500000000000000e-01;6.4375000000000004e-01;0.0000000000000000e+00
37;0;1;5.0000000000000000e-01;6.2500000000000000e-01;0.0000000000000000e+00
38;0;1;6.2500000000000000e-01;6.4375000000000004e-01;0.0000000000000000e+00
39;0;1;7.5000000000000000e-01;6.2500000000000000e-01;0.0000000000000000e+00
40;0;1;8.7500000000000000e-01;6.4375000000000004e-01;0.0000000000000000e+00
41;6;1;1.0000000000000000e+00;6.2500000000000000e-01;0.0000000000000000e+00
42;8;1;0.0000000000000000e+00;7.5000000000000000e-01;0.0000000000000000e+00
43;0;1;2.5000000000000000e-01;7.5000000000000000e-01;0.0000000000000000e+00
44;0;1;5.0000000000000000e-01;7.5000000000000000e-01;0.0000000000000000e+00
45;0;1;7.5000000000000000e-01;7.5000000000000000e-01;0.0000000000000000e+00
46;6;1;1.0000000000000000e+00;7.5000000000000000e-01;0.0000000000000000e+00
47;8;1;0.0000000000000000e+00;8.7500000000000000e-01;0.0000000000000000e+00
48;0;1;1.2500000000000000e-01;8.9375000000000004e-01;0.0000000000000000e+00
49;0;1;2.5000000000000000e-01;8.7500000000000000e-01;0.0000000000000000e+00
50;0;1;3.7500000000000000e-01;8.9375000000000004e-01;0.0000000000000000e+00
51;0;1;5.0000000000000000e-01;8.7500000000000000e-01;0.0000000000000000e+00
52;0;1;6.2500000000000000e-01;8.9375000000000004e-01;0.0000000000000000e+00
53;0;1;7.5000000000000000e-01;8.7500000000000000e-01;0.0000000000000000e+00
54;0;1;8.7500000000000000e-01;8.9375000000000004e-01;0.0000000000000000e+00
55;6;1;1.0000000000000000e+00;8.7500000000000000e-01;0.0000000000000000e+00
56;4;1;0.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00
57;7;1;2.5000000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
58;7;1;5.0000000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
59;7;1;7.5000000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
60;3;1;1.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00
