Id;Marker;Active;Origin;End
0;5;1;0;1
1;5;1;1;2
2;5;1;2;3
3;5;1;3;4
4;0;1;5;6
5;0;1;6;7
6;0;1;7;8
7;0;1;8;9
8;0;1;9;10
9;0;1;10;11
10;0;1;11;12
11;0;1;12;13
12;0;1;14;15
13;0;1;15;16
14;0;1;16;17
15;0;1;17;18
16;0;1;19;20
17;0;1;20;21
18;0;1;21;22
19;0;1;22;23
20;0;1;23;24
21;0;1;24;25
22;0;1;25;26
23;0;1;26;27
24;0;1;28;29
25;0;1;29;30
26;0;1;30;31
27;0;1;31;32
28;0;1;33;34
29;0;1;34;35
30;0;1;35;36
31;0;1;36;37
32;0;1;37;38
33;0;1;38;39
34;0;1;39;40
35;0;1;40;41
36;0;1;42;43
37;0;1;43;44
38;0;1;44;45
39;0;1;45;46
40;0;1;47;48
41;0;1;48;49
42;0;1;49;50
43;0;1;50;51
44;0;1;51;52
45;0;1;52;53
46;0;1;53;54
47;0;1;54;55
48;7;1;56;57
49;7;1;57;58
50;7;1;58;59
51;7;1;59;60
52;8;1;0;5
53;0;1;1;7
54;0;1;2;9
55;0;1;3;11
56;6;1;4;13
57;8;1;5;14
58;0;1;7;15
59;0;1;9;16
60;0;1;11;17
61;6;1;13;18
62;8;1;14;19
63;0;1;15;21
64;0;1;16;23
65;0;1;17;25
66;6;1;18;27
67;8;1;19;28
68;0;1;21;29
69;0;1;23;30
70;0;1;25;31
71;6;1;27;32
72;8;1;28;33
73;0;1;29;35
74;0;1;30;37
75;0;1;31;39
76;6;1;32;41
77;8;1;33;42
78;0;1;35;43
79;0;1;37;44
80;0;1;39;45
81;6;1;41;46
82;8;1;42;47
83;0;1;43;49
84;0;1;44;51
85;0;1;45;53
86;6;1;46;55
87;8;1;47;56
88;0;1;49;57
89;0;1;51;58
90;0;1;53;59
91;6;1;55;60
