Id;Marker;Active;X;Y;Z
0;0;1;1.6555737406801248e+00;2.8888888888888866e+00;0.0000000000000000e+00
1;8;1;2.2204460492503131e-16;2.8888888888888866e+00;0.0000000000000000e+00
2;1;1;2.2204460492503131e-16;0.0000000000000000e+00;0.0000000000000000e+00
3;5;1;2.3464474456840865e+00;2.1509101585437458e+00;0.0000000000000000e+00
4;0;1;1.4579495361713855e+00;4.1111111111111114e+01;0.0000000000000000e+00
5;0;1;3.1244602477484786e+00;4.3493773022238820e+01;0.0000000000000000e+00
6;7;1;2.6512738853503088e+00;4.4883757961783445e+01;0.0000000000000000e+00
7;1;1;2.3869795029440866e-15;4.4000000000000014e+01;0.0000000000000000e+00
8;8;1;2.2204460492503131e-15;4.1111111111111114e+01;0.0000000000000000e+00
9;6;1;4.8000000000000000e+01;5.7000000000000000e+01;0.0000000000000000e+00
10;3;1;4.8000000000000000e+01;6.0000000000000000e+01;0.0000000000000000e+00
11;7;1;4.5042993630573250e+01;5.9014331210191081e+01;0.0000000000000000e+00
12;0;1;4.5728723404255319e+01;5.7000000000000000e+01;0.0000000000000000e+00
13;2;1;4.7999999999999993e+01;4.3999999999999993e+01;0.0000000000000000e+00
14;6;1;4.7999999999999993e+01;4.7000000000000000e+01;0.0000000000000000e+00
15;0;1;4.5820419851497164e+01;4.7000000000000000e+01;0.0000000000000000e+00
16;0;1;4.4590771486324286e+01;4.3984333254992762e+01;0.0000000000000000e+00
17;5;1;4.6157369348209045e+01;4.2310921902524953e+01;0.0000000000000000e+00
18;6;1;4.8000000000000000e+01;5.2000000000000000e+01;0.0000000000000000e+00
19;0;1;4.5326072356137821e+01;5.2000000000000000e+01;0.0000000000000000e+00
20;0;1;4.4164182879652657e+01;4.9462680490777679e+01;0.0000000000000000e+00
21;0;1;4.4087736737939274e+01;5.4731577255386640e+01;0.0000000000000000e+00
22;7;1;4.0332802547770711e+01;5.7444267515923570e+01;0.0000000000000000e+00
23;0;1;4.1121296861324737e+01;5.5128065469858612e+01;0.0000000000000000e+00
24;0;1;3.6051970560277439e+01;5.4612961479185039e+01;0.0000000000000000e+00
25;0;1;3.9485184004391641e+01;5.3634803070129941e+01;0.0000000000000000e+00
26;7;1;3.5622611464968159e+01;5.5874203821656060e+01;0.0000000000000000e+00
27;7;1;3.0912420382165603e+01;5.4304140127388536e+01;0.0000000000000000e+00
28;0;1;3.1550066427758853e+01;5.2431054868458361e+01;0.0000000000000000e+00
29;0;1;3.4217798717085586e+01;5.2141668887618849e+01;0.0000000000000000e+00
30;7;1;2.6202229299363058e+01;5.2734076433121025e+01;0.0000000000000000e+00
31;0;1;2.6941291501594623e+01;5.0563081214065804e+01;0.0000000000000000e+00
32;0;1;3.0026589845378830e+01;5.0495050062909385e+01;0.0000000000000000e+00
33;7;1;2.1492038216560506e+01;5.1164012738853508e+01;0.0000000000000000e+00
34;0;1;2.2140346721350280e+01;4.9259606506033542e+01;0.0000000000000000e+00
35;0;1;2.5578782840589621e+01;4.8802222501723172e+01;0.0000000000000000e+00
36;0;1;2.0421998638484201e+01;4.7143865689354797e+01;0.0000000000000000e+00
37;7;1;1.6781847133757950e+01;4.9593949044585990e+01;0.0000000000000000e+00
38;0;1;1.7414492379867358e+01;4.7735553634139606e+01;0.0000000000000000e+00
39;0;1;1.5528026231828688e+01;4.5585978357756844e+01;0.0000000000000000e+00
40;7;1;1.2071656050955408e+01;4.8023885350318473e+01;0.0000000000000000e+00
41;0;1;1.2719307998938213e+01;4.6121407753118973e+01;0.0000000000000000e+00
42;0;1;1.0495623948486088e+01;4.3580441354795305e+01;0.0000000000000000e+00
43;7;1;7.3614649681528554e+00;4.6453821656050955e+01;0.0000000000000000e+00
44;0;1;8.1908561663156263e+00;4.4017485011447825e+01;0.0000000000000000e+00
45;0;1;6.4594674435106008e+00;4.2535310569560522e+01;0.0000000000000000e+00
46;5;1;5.9973576042278323e+00;5.4975778038755125e+00;0.0000000000000000e+00
47;0;1;5.5346698102436971e+00;5.9918124929040202e+00;0.0000000000000000e+00
48;0;1;2.7408303512818755e+00;5.7052296636406759e+00;0.0000000000000000e+00
49;0;1;8.2198018871684511e+00;1.0370106725419712e+01;0.0000000000000000e+00
50;0;1;5.9345771460825194e+00;9.2164321615191565e+00;0.0000000000000000e+00
51;5;1;9.6482677627715780e+00;8.8442454492072784e+00;0.0000000000000000e+00
