Id;Marker;Active;Origin;End
0;0;1;0;1
1;8;1;1;2
2;5;1;2;3
3;0;1;3;0
4;0;1;4;5
5;0;1;5;6
6;7;1;6;7
7;8;1;7;8
8;0;1;8;4
9;6;1;9;10
10;7;1;10;11
11;0;1;11;12
12;0;1;12;9
13;6;1;13;14
14;0;1;14;15
15;0;1;15;16
16;0;1;16;17
17;5;1;17;13
18;6;1;14;18
19;0;1;18;19
20;0;1;19;20
21;0;1;20;15
22;6;1;18;9
23;0;1;12;21
24;0;1;21;19
25;7;1;11;22
26;0;1;22;23
27;0;1;23;21
28;0;1;24;25
29;0;1;25;23
30;7;1;22;26
31;0;1;26;24
32;7;1;26;27
33;0;1;27;28
34;0;1;28;29
35;0;1;29;24
36;0;1;30;31
37;0;1;31;32
38;0;1;32;28
39;7;1;27;30
40;0;1;33;34
41;0;1;34;35
42;0;1;35;31
43;7;1;30;33
44;0;1;36;34
45;7;1;33;37
46;0;1;37;38
47;0;1;38;36
48;0;1;39;38
49;7;1;37;40
50;0;1;40;41
51;0;1;41;39
52;0;1;42;41
53;7;1;40;43
54;0;1;43;44
55;0;1;44;42
56;0;1;5;45
57;0;1;45;44
58;7;1;43;6
59;5;1;3;46
60;0;1;46;47
61;0;1;47;48
62;0;1;48;0
63;0;1;49;50
64;0;1;50;47
65;5;1;46;51
66;0;1;51;49
67;0;1;52;53
68;0;1;53;49
69;5;1;51;54
70;0;1;54;52
71;5;1;54;55
72;0;1;55;56
73;0;1;56;57
74;0;1;57;52
75;0;1;58;59
76;0;1;59;60
77;0;1;60;56
78;5;1;55;58
79;5;1;58;61
80;0;1;61;62
81;0;1;62;63
82;0;1;63;59
83;5;1;61;64
84;0;1;64;65
85;0;1;65;66
86;0;1;66;62
87;5;1;64;67
88;0;1;67;68
89;0;1;68;69
90;0;1;69;65
91;0;1;70;68
92;5;1;67;71
93;0;1;71;72
94;0;1;72;70
95;0;1;73;74
96;0;1;74;72
97;5;1;71;75
98;0;1;75;73
99;5;1;75;76
100;0;1;76;77
101;0;1;77;78
102;0;1;78;73
103;5;1;76;17
104;0;1;16;79
105;0;1;79;77
106;8;1;8;80
107;0;1;80;81
108;0;1;81;82
109;0;1;82;4
110;8;1;80;83
111;0;1;83;84
112;0;1;84;85
113;0;1;85;81
114;0;1;86;87
115;0;1;87;84
116;8;1;83;88
117;0;1;88;86
118;0;1;89;90
119;0;1;90;86
120;8;1;88;91
121;0;1;91;89
122;8;1;91;92
123;0;1;92;93
124;0;1;93;94
125;0;1;94;89
126;8;1;92;95
127;0;1;95;96
128;0;1;96;97
129;0;1;97;93
130;0;1;98;99
131;0;1;99;96
132;8;1;95;100
133;0;1;100;98
134;8;1;100;1
135;0;1;48;98
136;0;1;29;101
137;0;1;101;102
138;0;1;102;25
139;0;1;32;103
140;0;1;103;104
141;0;1;104;101
142;0;1;35;105
143;0;1;105;106
144;0;1;106;103
145;0;1;36;107
146;0;1;107;108
147;0;1;108;105
148;0;1;39;109
149;0;1;109;110
150;0;1;110;107
151;0;1;42;111
152;0;1;111;112
153;0;1;112;109
154;0;1;113;111
155;0;1;45;114
156;0;1;114;115
157;0;1;115;113
158;0;1;85;116
159;0;1;116;115
160;0;1;114;82
161;0;1;87;117
162;0;1;117;118
163;0;1;118;116
164;0;1;90;119
165;0;1;119;120
166;0;1;120;117
167;0;1;94;121
168;0;1;121;122
169;0;1;122;119
170;0;1;97;123
171;0;1;123;124
172;0;1;124;121
173;0;1;57;125
174;0;1;125;124
175;0;1;123;53
176;0;1;60;126
177;0;1;126;127
178;0;1;127;125
179;0;1;63;128
180;0;1;128;129
181;0;1;129;126
182;0;1;66;130
183;0;1;130;131
184;0;1;131;128
185;0;1;69;132
186;0;1;132;133
187;0;1;133;130
188;0;1;134;132
189;0;1;70;135
190;0;1;135;134
191;0;1;74;136
192;0;1;136;137
193;0;1;137;135
194;0;1;78;138
195;0;1;138;139
196;0;1;139;136
197;0;1;79;140
198;0;1;140;141
199;0;1;141;138
200;0;1;20;142
201;0;1;142;140
202;0;1;102;142
203;0;1;50;99
204;0;1;143;144
205;0;1;144;106
206;0;1;108;145
207;0;1;145;143
208;0;1;146;145
209;0;1;110;147
210;0;1;147;146
211;0;1;112;148
212;0;1;148;149
213;0;1;149;147
214;0;1;150;151
215;0;1;151;118
216;0;1;120;152
217;0;1;152;150
218;0;1;153;154
219;0;1;154;152
220;0;1;122;153
221;0;1;153;127
222;0;1;129;155
223;0;1;155;154
224;0;1;156;157
225;0;1;157;155
226;0;1;131;156
227;0;1;133;158
228;0;1;158;159
229;0;1;159;156
230;0;1;134;160
231;0;1;160;161
232;0;1;161;158
233;0;1;146;160
234;0;1;137;143
235;0;1;139;144
236;0;1;113;162
237;0;1;162;148
238;0;1;151;163
239;0;1;163;162
240;0;1;141;104
241;0;1;150;157
242;0;1;159;163
243;0;1;149;161
