Id;Marker;Active;X;Y;Z
0;2;1;1.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;9;1;1.0000000000000000e+00;1.6666666666666666e-01;0.0000000000000000e+00
2;9;1;1.0000000000000000e+00;2.3022417348138435e-01;0.0000000000000000e+00
3;9;1;1.0000000000000000e+00;3.3333333333333331e-01;0.0000000000000000e+00
4;9;1;1.0000000000000000e+00;4.2778805957226179e-01;0.0000000000000000e+00
5;9;1;1.0000000000000000e+00;5.0000000000000000e-01;0.0000000000000000e+00
6;9;1;1.0000000000000000e+00;6.5648581779097803e-01;0.0000000000000000e+00
7;9;1;1.0000000000000000e+00;6.6666666666666663e-01;0.0000000000000000e+00
8;9;1;1.0000000000000000e+00;8.3333333333333326e-01;0.0000000000000000e+00
9;9;1;1.0000000000000000e+00;9.0431809027278964e-01;0.0000000000000000e+00
10;17;1;1.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00
11;9;1;1.0000000000000000e+00;1.1250000000000000e+00;0.0000000000000000e+00
12;9;1;1.0000000000000000e+00;1.1644216270943990e+00;0.0000000000000000e+00
13;9;1;1.0000000000000000e+00;1.2500000000000000e+00;0.0000000000000000e+00
14;9;1;1.0000000000000000e+00;1.3750000000000000e+00;0.0000000000000000e+00
15;9;1;1.0000000000000000e+00;1.4318204614205581e+00;0.0000000000000000e+00
16;9;1;1.0000000000000000e+00;1.5000000000000000e+00;0.0000000000000000e+00
17;9;1;1.0000000000000000e+00;1.6250000000000000e+00;0.0000000000000000e+00
18;9;1;1.0000000000000000e+00;1.7134356019231798e+00;0.0000000000000000e+00
19;9;1;1.0000000000000000e+00;1.7500000000000000e+00;0.0000000000000000e+00
20;9;1;1.0000000000000000e+00;1.8750000000000000e+00;0.0000000000000000e+00
21;3;1;1.0000000000000000e+00;2.0000000000000000e+00;0.0000000000000000e+00
22;14;1;1.1666666666666665e+00;9.9999999999999956e-01;0.0000000000000000e+00
23;14;1;1.2500000000000000e+00;9.9999999999999956e-01;0.0000000000000000e+00
24;14;1;1.3333333333333333e+00;9.9999999999999956e-01;0.0000000000000000e+00
25;14;1;1.4999999999999998e+00;9.9999999999999956e-01;0.0000000000000000e+00
26;14;1;1.6666666666666665e+00;9.9999999999999956e-01;0.0000000000000000e+00
27;14;1;1.7499999999999996e+00;9.9999999999999956e-01;0.0000000000000000e+00
28;14;1;1.8333333333333328e+00;9.9999999999999956e-01;0.0000000000000000e+00
29;14;1;1.8749999999999996e+00;9.9999999999999956e-01;0.0000000000000000e+00
30;6;1;1.9999999999999996e+00;9.9999999999999956e-01;0.0000000000000000e+00
31;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
32;8;1;2.0228247325891213e-01;0.0000000000000000e+00;0.0000000000000000e+00
33;11;1;0.0000000000000000e+00;2.2964286038624282e-01;0.0000000000000000e+00
34;0;1;1.9360185131287255e-01;2.1253237248654810e-01;0.0000000000000000e+00
35;11;1;0.0000000000000000e+00;4.4282207990055811e-01;0.0000000000000000e+00
36;0;1;2.4406512633287131e-01;2.5539380099269526e-01;0.0000000000000000e+00
37;0;1;2.2449892760695267e-01;4.3826300285692477e-01;0.0000000000000000e+00
38;8;1;4.0776444446501114e-01;0.0000000000000000e+00;0.0000000000000000e+00
39;0;1;3.9176526279940649e-01;2.2144028296655516e-01;0.0000000000000000e+00
40;8;1;5.9441383097846656e-01;0.0000000000000000e+00;0.0000000000000000e+00
41;0;1;6.0424091928563450e-01;2.3073947013647933e-01;0.0000000000000000e+00
42;0;1;4.9522311729966040e-01;2.8992052888005504e-01;0.0000000000000000e+00
43;8;1;7.9146025715208657e-01;1.3877787807814457e-17;0.0000000000000000e+00
44;0;1;8.0818190866740369e-01;2.0688800993427281e-01;0.0000000000000000e+00
45;0;1;7.3735327270323692e-01;2.6852583077798603e-01;0.0000000000000000e+00
46;0;1;7.6930154916219728e-01;4.3823916146466041e-01;0.0000000000000000e+00
47;11;1;0.0000000000000000e+00;6.6867340954103049e-01;0.0000000000000000e+00
48;0;1;1.5470105762694822e-01;6.8301938991485012e-01;0.0000000000000000e+00
49;0;1;2.8712562381590145e-01;5.1242605987269985e-01;0.0000000000000000e+00
50;0;1;2.8724209404966172e-01;5.1792445868138715e-01;0.0000000000000000e+00
51;0;1;4.8863718037483622e-01;4.0305567108458479e-01;0.0000000000000000e+00
52;0;1;5.9550947495306183e-01;5.1242862965945957e-01;0.0000000000000000e+00
53;0;1;4.2617152306149653e-01;6.7560736244623099e-01;0.0000000000000000e+00
54;0;1;5.3951138430348999e-01;6.5547794860051734e-01;0.0000000000000000e+00
55;0;1;7.3788634152954824e-01;4.8566255533657693e-01;0.0000000000000000e+00
56;0;1;6.3970121949100167e-01;7.6910403406240602e-01;0.0000000000000000e+00
57;0;1;8.1512977192630642e-01;6.6260575711773451e-01;0.0000000000000000e+00
58;0;1;7.4738183405597036e-01;7.6058556513006970e-01;0.0000000000000000e+00
59;0;1;1.5778020717413757e-01;9.3520309373304789e-01;0.0000000000000000e+00
60;0;1;2.3486689570781821e-01;8.1158928722864143e-01;0.0000000000000000e+00
61;11;1;1.3877787807814457e-17;1.0000000000000000e+00;0.0000000000000000e+00
62;0;1;3.5991082633820376e-01;8.0773567062805784e-01;0.0000000000000000e+00
63;0;1;2.3903108922978633e-01;1.0573215334736694e+00;0.0000000000000000e+00
64;0;1;4.3772897705140074e-01;9.1630178987391731e-01;0.0000000000000000e+00
65;0;1;3.6537214378821292e-01;1.0561772878397471e+00;0.0000000000000000e+00
66;0;1;5.6182119105974537e-01;9.1307636989322960e-01;0.0000000000000000e+00
67;0;1;6.4619429133035156e-01;1.0308991168154804e+00;0.0000000000000000e+00
68;0;1;8.3900165967353846e-01;9.0827993418543729e-01;0.0000000000000000e+00
69;0;1;7.5821638594219232e-01;1.0276594046535936e+00;0.0000000000000000e+00
70;11;1;0.0000000000000000e+00;1.1927077322712227e+00;0.0000000000000000e+00
71;0;1;1.6018086602361592e-01;1.1931814975239909e+00;0.0000000000000000e+00
72;11;1;0.0000000000000000e+00;1.4519320251540369e+00;0.0000000000000000e+00
73;0;1;1.5667811645879670e-01;1.4538985269161557e+00;0.0000000000000000e+00
74;0;1;2.3717408360326453e-01;1.3030884745861566e+00;0.0000000000000000e+00
75;0;1;4.3896468824295121e-01;1.1617576744810276e+00;0.0000000000000000e+00
76;0;1;3.6821015147235681e-01;1.3047639900999373e+00;0.0000000000000000e+00
77;0;1;5.6963904710021518e-01;1.1601216626142348e+00;0.0000000000000000e+00
78;0;1;4.3242421860082525e-01;1.3979307126430491e+00;0.0000000000000000e+00
79;0;1;6.4925896438122410e-01;1.2887793015664071e+00;0.0000000000000000e+00
80;0;1;5.8012374500126818e-01;1.3971553006478445e+00;0.0000000000000000e+00
81;0;1;8.4847759488087082e-01;1.1664980089681194e+00;0.0000000000000000e+00
82;0;1;7.6454755553518228e-01;1.2854542164980760e+00;0.0000000000000000e+00
83;0;1;8.5750661172639187e-01;1.4342594586919408e+00;0.0000000000000000e+00
84;0;1;1.5403182644241345e-01;1.7227456642334864e+00;0.0000000000000000e+00
85;11;1;0.0000000000000000e+00;1.7220088280090446e+00;0.0000000000000000e+00
86;0;1;2.2850234288244842e-01;1.5454381029245852e+00;0.0000000000000000e+00
87;0;1;3.7134601481561291e-01;1.5487960927922242e+00;0.0000000000000000e+00
88;0;1;4.1907981174842324e-01;1.6155425809476369e+00;0.0000000000000000e+00
89;0;1;6.4819039291483438e-01;1.5408581898441420e+00;0.0000000000000000e+00
90;0;1;5.9463604699115202e-01;1.6164845128218839e+00;0.0000000000000000e+00
91;0;1;7.7478578350718375e-01;1.5373188966908138e+00;0.0000000000000000e+00
92;0;1;6.3617830203146419e-01;1.7731078550988704e+00;0.0000000000000000e+00
93;0;1;7.9036289406964244e-01;1.7822274681859638e+00;0.0000000000000000e+00
94;0;1;8.6289248313544364e-01;1.7129200871426129e+00;0.0000000000000000e+00
95;0;1;2.1056012511046895e-01;1.7803429203724574e+00;0.0000000000000000e+00
96;4;1;0.0000000000000000e+00;2.0000000000000000e+00;0.0000000000000000e+00
97;10;1;1.7489155796271283e-01;2.0000000000000000e+00;0.0000000000000000e+00
98;10;1;3.8881373261361662e-01;2.0000000000000000e+00;0.0000000000000000e+00
99;0;1;3.7899903181196892e-01;1.7789313647465272e+00;0.0000000000000000e+00
100;0;1;4.0463334084342584e-01;1.8105948899131681e+00;0.0000000000000000e+00
101;0;1;5.9710320771475134e-01;1.8184076568829386e+00;0.0000000000000000e+00
102;10;1;6.1194737469872285e-01;2.0000000000000000e+00;0.0000000000000000e+00
103;10;1;8.2987240874075774e-01;2.0000000000000000e+00;0.0000000000000000e+00
104;12;1;1.1666666666666665e+00;0.0000000000000000e+00;0.0000000000000000e+00
105;12;1;1.3333333333333333e+00;0.0000000000000000e+00;0.0000000000000000e+00
106;12;1;1.4999999999999998e+00;0.0000000000000000e+00;0.0000000000000000e+00
107;12;1;1.6666666666666665e+00;0.0000000000000000e+00;0.0000000000000000e+00
108;12;1;1.8333333333333328e+00;0.0000000000000000e+00;0.0000000000000000e+00
109;5;1;1.9999999999999996e+00;0.0000000000000000e+00;0.0000000000000000e+00
110;0;1;1.1666666666666665e+00;1.6666666666666660e-01;0.0000000000000000e+00
111;0;1;1.3333333333333333e+00;1.6666666666666660e-01;0.0000000000000000e+00
112;0;1;1.4999999999999998e+00;1.6666666666666660e-01;0.0000000000000000e+00
113;0;1;1.6666666666666665e+00;1.6666666666666660e-01;0.0000000000000000e+00
114;0;1;1.8333333333333328e+00;1.6666666666666660e-01;0.0000000000000000e+00
115;13;1;1.9999999999999996e+00;1.6666666666666660e-01;0.0000000000000000e+00
116;0;1;1.1666666666666665e+00;3.3333333333333320e-01;0.0000000000000000e+00
117;0;1;1.3333333333333333e+00;3.3333333333333320e-01;0.0000000000000000e+00
118;0;1;1.4999999999999998e+00;3.3333333333333320e-01;0.0000000000000000e+00
119;0;1;1.6666666666666665e+00;3.3333333333333320e-01;0.0000000000000000e+00
120;0;1;1.8333333333333328e+00;3.3333333333333320e-01;0.0000000000000000e+00
121;13;1;1.9999999999999996e+00;3.3333333333333320e-01;0.0000000000000000e+00
122;0;1;1.1666666666666665e+00;4.9999999999999978e-01;0.0000000000000000e+00
123;0;1;1.3333333333333333e+00;4.9999999999999978e-01;0.0000000000000000e+00
124;0;1;1.4999999999999998e+00;4.9999999999999978e-01;0.0000000000000000e+00
125;0;1;1.6666666666666665e+00;4.9999999999999978e-01;0.0000000000000000e+00
