Id;Num2DNeighbours;2DNeighbours;Num3DNeighbours;3DNeighbours
0;2;44;63;0
1;2;8;71;0
2;2;20;71;0
3;2;6;50;0
4;2;3;14;0
5;2;4;72;0
6;2;81;80;0
7;2;5;80;0
8;2;81;0;0
9;2;5;0;0
10;2;4;0;0
11;2;81;1;0
12;2;3;1;0
13;2;7;1;0
14;2;81;2;0
15;2;7;2;0
16;2;52;2;0
17;2;81;35;0
18;2;17;23;0
19;2;81;9;0
20;2;6;18;0
21;2;6;3;0
22;2;81;4;0
23;2;81;5;0
24;2;81;52;0
25;2;81;7;0
26;2;81;32;0
27;2;8;11;0
28;2;81;8;0
29;2;81;10;0
30;2;81;9;0
31;2;11;9;0
32;2;12;10;0
33;2;9;10;0
34;2;9;10;0
35;2;11;12;0
36;2;13;12;0
37;2;22;11;0
38;2;22;13;0
39;2;67;13;0
40;2;68;22;0
41;2;14;66;0
42;2;15;68;0
43;2;15;14;0
44;2;16;14;0
45;2;17;15;0
46;2;17;16;0
47;2;18;16;0
48;2;19;17;0
49;2;19;18;0
50;2;55;18;0
51;2;57;19;0
52;2;57;55;0
53;2;22;21;0
54;2;22;20;0
55;2;24;20;0
56;2;23;21;0
57;2;20;21;0
58;2;20;21;0
59;2;24;23;0
60;2;25;23;0
61;2;39;24;0
62;2;39;25;0
63;2;38;25;0
64;2;43;65;0
65;2;80;42;0
66;2;41;43;0
67;2;79;42;0
68;2;79;42;0
69;2;26;63;0
70;2;63;62;0
71;2;26;37;0
72;2;34;37;0
73;2;27;26;0
74;2;27;34;0
75;2;28;27;0
76;2;28;35;0
77;2;29;35;0
78;2;49;28;0
79;2;81;29;0
80;2;49;29;0
81;2;49;29;0
82;2;42;30;0
83;2;32;30;0
84;2;31;44;0
85;2;30;44;0
86;2;30;44;0
87;2;32;31;0
88;2;33;31;0
89;2;45;32;0
90;2;45;33;0
91;2;49;33;0
92;2;81;49;0
93;2;81;47;0
94;2;48;49;0
95;2;35;34;0
96;2;35;54;0
97;2;36;34;0
98;2;54;34;0
99;2;54;34;0
100;2;56;36;0
101;2;37;36;0
102;2;58;37;0
103;2;62;37;0
104;2;65;61;0
105;2;38;59;0
106;2;60;62;0
107;2;59;61;0
108;2;40;65;0
109;2;40;38;0
110;2;38;65;0
111;2;38;65;0
112;2;71;72;0
113;2;39;69;0
114;2;72;70;0
115;2;72;70;0
116;2;73;69;0
117;2;75;39;0
118;2;40;39;0
119;2;77;40;0
120;2;41;40;0
121;2;79;41;0
122;2;44;43;0
123;2;44;42;0
124;2;42;43;0
125;2;42;43;0
126;2;81;45;0
127;2;81;46;0
128;2;47;46;0
129;2;48;45;0
130;2;46;45;0
131;2;46;45;0
132;2;49;48;0
133;2;49;47;0
134;2;47;48;0
135;2;47;48;0
136;2;52;51;0
137;2;52;50;0
138;2;53;50;0
139;2;54;51;0
140;2;50;51;0
141;2;50;51;0
142;2;53;54;0
143;2;56;54;0
144;2;55;53;0
145;2;55;56;0
146;2;58;56;0
147;2;57;55;0
148;2;57;58;0
149;2;60;58;0
150;2;59;57;0
151;2;59;60;0
152;2;61;62;0
153;2;63;62;0
154;2;64;61;0
155;2;65;63;0
156;2;65;64;0
157;2;64;63;0
158;2;64;63;0
159;2;81;66;0
160;2;81;67;0
161;2;68;67;0
162;2;68;66;0
163;2;67;66;0
164;2;67;66;0
165;2;67;66;0
166;2;71;69;0
167;2;71;70;0
168;2;70;69;0
169;2;70;69;0
170;2;72;73;0
171;2;75;73;0
172;2;74;72;0
173;2;74;75;0
174;2;77;75;0
175;2;76;74;0
176;2;76;77;0
177;2;79;77;0
178;2;78;76;0
179;2;80;79;0
180;2;80;78;0
181;2;78;79;0
182;2;78;79;0
