Id;Marker;Active;Origin;End
0;0;1;18;11
1;0;1;25;6
2;0;1;12;25
3;0;1;10;19
4;0;1;14;5
5;0;1;6;9
6;6;1;17;7
7;0;1;9;17
8;5;1;16;1
9;0;1;1;9
10;0;1;9;16
11;8;1;21;5
12;0;1;5;10
13;0;1;10;21
14;7;1;20;3
15;0;1;3;10
16;0;1;10;20
17;7;1;23;8
18;0;1;4;13
19;5;1;0;24
20;0;1;19;14
21;0;1;14;10
22;5;1;6;16
23;6;1;1;17
24;7;1;8;20
25;8;1;3;21
26;6;1;7;22
27;0;1;24;25
28;5;1;24;6
29;8;1;15;26
30;8;1;26;0
31;0;1;24;27
32;0;1;27;15
33;0;1;26;28
34;0;1;28;27
35;0;1;27;29
36;0;1;29;15
37;0;1;25;29
38;0;1;29;30
39;0;1;30;15
40;0;1;13;30
41;0;1;31;5
42;0;1;13;31
43;0;1;31;32
44;0;1;32;14
45;0;1;13;32
46;0;1;32;33
47;0;1;33;14
48;0;1;4;33
49;0;1;33;34
50;0;1;34;19
51;0;1;4;34
52;0;1;34;36
53;0;1;13;37
54;0;1;37;25
55;0;1;12;38
56;0;1;38;13
57;0;1;37;39
58;0;1;39;38
59;0;1;38;40
60;0;1;40;4
61;0;1;12;40
62;0;1;40;41
63;0;1;41;4
64;0;1;42;18
65;0;1;43;7
66;0;1;42;44
67;0;1;44;45
68;0;1;45;43
69;0;1;11;47
70;0;1;48;47
71;0;1;47;49
72;0;1;49;35
73;0;1;11;49
74;0;1;49;50
75;0;1;11;50
76;0;1;50;51
77;0;1;51;23
78;0;1;11;51
79;7;1;52;23
80;0;1;51;53
81;0;1;53;52
82;0;1;54;7
83;0;1;7;55
84;0;1;55;11
85;0;1;54;56
86;0;1;56;55
87;0;1;55;57
88;0;1;57;11
89;0;1;22;57
90;0;1;57;58
91;0;1;58;11
92;7;1;59;52
93;7;1;2;59
94;0;1;58;60
95;0;1;50;61
96;0;1;61;8
97;0;1;62;35
98;0;1;61;63
99;0;1;63;62
100;0;1;62;64
101;0;1;64;35
102;0;1;64;65
103;0;1;65;47
104;0;1;66;46
105;0;1;4;66
106;0;1;65;67
107;0;1;67;66
108;0;1;68;42
109;0;1;41;68
110;0;1;66;69
111;0;1;69;68
112;0;1;70;6
113;0;1;71;12
114;0;1;70;72
115;0;1;72;73
116;0;1;73;71
117;0;1;71;74
118;0;1;74;41
119;0;1;74;75
120;0;1;75;42
121;0;1;75;44
122;0;1;76;18
123;0;1;54;76
124;0;1;44;77
125;0;1;77;76
126;6;1;22;78
127;6;1;78;2
128;0;1;2;79
129;0;1;79;58
130;0;1;78;80
131;0;1;80;79
132;0;1;81;60
133;0;1;59;81
134;0;1;79;82
135;0;1;82;81
136;0;1;8;83
137;0;1;83;10
138;0;1;19;84
139;0;1;84;8
140;0;1;83;85
141;0;1;85;84
142;0;1;84;86
143;0;1;86;62
144;0;1;19;86
145;0;1;86;87
146;0;1;87;64
147;0;1;36;87
148;0;1;87;88
149;0;1;88;65
150;0;1;4;88
151;0;1;88;67
152;0;1;67;89
153;0;1;89;48
154;0;1;46;89
155;0;1;90;18
156;0;1;46;90
157;0;1;89;91
158;0;1;91;90
159;8;1;5;92
160;8;1;92;15
161;0;1;30;93
162;0;1;93;31
163;0;1;92;94
164;0;1;94;95
165;0;1;95;93
166;0;1;12;96
167;0;1;96;70
168;0;1;96;97
169;0;1;97;73
170;0;1;73;98
171;0;1;98;71
172;0;1;9;98
173;0;1;98;99
174;0;1;99;74
175;0;1;9;99
176;0;1;99;100
177;0;1;100;75
178;0;1;9;100
179;0;1;101;43
180;0;1;9;101
181;0;1;100;102
182;0;1;102;101
