Id;Marker;Active;X;Y;Z
0;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;5;1;5.0000000000000003e-02;0.0000000000000000e+00;0.0000000000000000e+00
2;5;1;1.0000000000000001e-01;0.0000000000000000e+00;0.0000000000000000e+00
3;5;1;1.5000000000000002e-01;0.0000000000000000e+00;0.0000000000000000e+00
4;5;1;2.0000000000000001e-01;0.0000000000000000e+00;0.0000000000000000e+00
5;5;1;2.5000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
6;5;1;3.0000000000000004e-01;0.0000000000000000e+00;0.0000000000000000e+00
7;5;1;3.5000000000000003e-01;0.0000000000000000e+00;0.0000000000000000e+00
8;5;1;4.0000000000000002e-01;0.0000000000000000e+00;0.0000000000000000e+00
9;5;1;4.5000000000000001e-01;0.0000000000000000e+00;0.0000000000000000e+00
10;5;1;5.0000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
11;5;1;5.5000000000000004e-01;0.0000000000000000e+00;0.0000000000000000e+00
12;5;1;6.0000000000000009e-01;0.0000000000000000e+00;0.0000000000000000e+00
13;5;1;6.5000000000000002e-01;0.0000000000000000e+00;0.0000000000000000e+00
14;5;1;7.0000000000000007e-01;0.0000000000000000e+00;0.0000000000000000e+00
15;5;1;7.5000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
16;5;1;8.0000000000000004e-01;0.0000000000000000e+00;0.0000000000000000e+00
17;5;1;8.5000000000000009e-01;0.0000000000000000e+00;0.0000000000000000e+00
18;5;1;9.0000000000000002e-01;0.0000000000000000e+00;0.0000000000000000e+00
19;5;1;9.5000000000000007e-01;0.0000000000000000e+00;0.0000000000000000e+00
20;2;1;1.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
21;8;1;0.0000000000000000e+00;5.0000000000000003e-02;0.0000000000000000e+00
22;0;1;5.0000000000000003e-02;5.0000000000000003e-02;0.0000000000000000e+00
23;0;1;1.0000000000000001e-01;5.0000000000000003e-02;0.0000000000000000e+00
24;0;1;1.5000000000000002e-01;5.0000000000000003e-02;0.0000000000000000e+00
25;0;1;2.0000000000000001e-01;5.0000000000000003e-02;0.0000000000000000e+00
26;0;1;2.5000000000000000e-01;5.0000000000000003e-02;0.0000000000000000e+00
27;0;1;3.0000000000000004e-01;5.0000000000000003e-02;0.0000000000000000e+00
28;0;1;3.5000000000000003e-01;5.0000000000000003e-02;0.0000000000000000e+00
29;0;1;4.0000000000000002e-01;5.0000000000000003e-02;0.0000000000000000e+00
30;0;1;4.5000000000000001e-01;5.0000000000000003e-02;0.0000000000000000e+00
31;0;1;5.0000000000000000e-01;5.0000000000000003e-02;0.0000000000000000e+00
32;0;1;5.5000000000000004e-01;5.0000000000000003e-02;0.0000000000000000e+00
33;0;1;6.0000000000000009e-01;5.0000000000000003e-02;0.0000000000000000e+00
34;0;1;6.5000000000000002e-01;5.0000000000000003e-02;0.0000000000000000e+00
35;0;1;7.0000000000000007e-01;5.0000000000000003e-02;0.0000000000000000e+00
36;0;1;7.5000000000000000e-01;5.0000000000000003e-02;0.0000000000000000e+00
37;0;1;8.0000000000000004e-01;5.0000000000000003e-02;0.0000000000000000e+00
