Id;Marker;Active;X;Y;Z
0;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;2;1;1.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
2;3;1;1.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00
3;4;1;0.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00
4;5;1;0.0000000000000000e+00;0.0000000000000000e+00;1.0000000000000000e+00
5;6;1;1.0000000000000000e+00;0.0000000000000000e+00;1.0000000000000000e+00
6;7;1;1.0000000000000000e+00;1.0000000000000000e+00;1.0000000000000000e+00
7;8;1;0.0000000000000000e+00;1.0000000000000000e+00;1.0000000000000000e+00
8;10;1;1.0000000000000000e+00;3.9837595539798798e-01;0.0000000000000000e+00
9;12;1;0.0000000000000000e+00;8.5438463340250603e-01;0.0000000000000000e+00
10;14;1;1.0000000000000000e+00;4.6675014151904398e-01;1.0000000000000000e+00
11;16;1;0.0000000000000000e+00;9.2275881952356198e-01;1.0000000000000000e+00
12;10;1;1.0000000000000000e+00;2.7258034702299599e-01;0.0000000000000000e+00
13;12;1;0.0000000000000000e+00;7.8721039446828500e-01;0.0000000000000000e+00
14;14;1;1.0000000000000000e+00;1.4101888510243200e-03;1.0000000000000000e+00
15;16;1;0.0000000000000000e+00;5.1604023629631401e-01;1.0000000000000000e+00
16;10;1;1.0000000000000000e+00;4.8443416320334698e-01;0.0000000000000000e+00
17;14;1;1.0000000000000000e+00;7.3027297782728395e-01;1.0000000000000000e+00
18;21;1;8.5677734626520297e-01;4.6368672838789099e-01;0.0000000000000000e+00
19;22;1;5.6143125800214100e-01;6.6674129377159197e-01;1.0000000000000000e+00
20;16;1;0.0000000000000000e+00;5.8541157305347502e-01;1.0000000000000000e+00
21;21;1;6.7876184677224904e-01;4.3789915305983101e-01;0.0000000000000000e+00
22;23;1;0.0000000000000000e+00;5.5242536179870305e-01;8.6582179341683096e-01
23;12;1;0.0000000000000000e+00;3.3957275842953799e-01;0.0000000000000000e+00
24;10;1;1.0000000000000000e+00;3.7009695777053098e-01;0.0000000000000000e+00
25;14;1;1.0000000000000000e+00;1.6764313196353600e-01;1.0000000000000000e+00
26;22;1;6.9141808576455999e-01;1.6021571401476700e-01;1.0000000000000000e+00
27;21;1;8.1897774381664101e-01;3.6573983931129100e-01;0.0000000000000000e+00
28;12;1;0.0000000000000000e+00;3.4602743973940803e-01;0.0000000000000000e+00
29;21;1;5.3436381233287499e-02;3.4731362768102098e-01;0.0000000000000000e+00
30;23;1;0.0000000000000000e+00;3.4311243554863702e-01;1.4398365549042700e-02
31;16;1;0.0000000000000000e+00;1.4357361393241200e-01;1.0000000000000000e+00
