Id;Num3DNeighbours;3DNeighbours
0;2;9;51
1;1;9
2;1;9
3;2;9;212
4;1;214
5;2;58;214
6;1;58
7;2;4;58
8;2;58;64
9;2;4;212
10;1;87
11;1;224
12;1;88
13;1;251
14;1;106
15;2;6;260
16;2;6;256
17;1;259
18;1;250
19;1;210
20;1;212
21;2;281;307
22;2;281;283
23;1;120
24;2;260;289
25;1;231
26;2;6;254
27;2;6;186
28;1;290
29;2;101;104
30;2;90;263
31;2;184;240
32;1;215
33;1;226
34;2;23;224
35;2;56;222
36;2;36;219
37;2;8;250
38;2;212;249
39;1;249
40;2;21;56
41;2;172;199
42;2;48;83
43;1;156
44;2;156;210
45;2;38;180
46;2;36;38
47;2;36;39
48;2;68;165
49;2;59;68
50;2;67;269
51;1;99
52;2;248;267
53;1;51
54;2;46;86
55;2;15;54
56;2;27;30
57;2;14;27
58;2;54;209
59;2;54;208
60;2;21;54
61;1;3
62;1;218
63;2;3;4
64;2;5;220
65;1;4
66;1;54
67;2;52;54
68;2;54;56
69;2;54;252
70;2;17;19
71;1;12
72;2;11;17
73;2;8;260
74;1;260
75;2;156;211
76;1;156
77;2;0;156
78;2;155;156
79;2;88;156
80;2;88;157
81;2;156;157
82;1;263
83;2;186;255
84;2;89;186
85;1;76
86;1;112
87;1;115
88;2;115;123
89;2;118;123
90;2;97;240
91;2;159;253
92;2;236;253
93;2;163;186
94;2;94;186
95;2;94;257
96;2;88;186
97;2;164;236
98;2;109;236
99;2;109;160
100;1;106
101;2;160;244
102;2;114;129
103;2;104;128
104;2;158;258
105;2;223;270
106;1;66
107;2;65;223
108;2;68;227
109;2;67;247
110;1;72
111;1;64
112;2;67;223
113;1;69
114;2;68;223
115;2;112;123
116;2;167;240
117;2;128;240
118;2;162;166
119;2;166;291
120;2;184;187
121;2;90;93
122;2;90;187
123;2;146;149
124;2;141;303
125;2;243;267
126;2;133;233
127;2;233;267
128;2;233;272
129;2;73;272
130;2;99;234
131;2;73;233
132;2;99;164
133;2;164;233
134;2;98;99
135;2;63;248
136;2;99;233
137;2;62;286
138;2;45;47
139;2;193;205
140;2;193;206
141;2;192;196
142;1;192
143;1;183
144;1;194
145;2;194;224
146;2;1;206
147;2;1;207
148;2;194;206
149;2;194;207
150;2;202;207
151;2;194;230
152;2;32;35
153;2;26;30
154;2;32;180
155;1;38
156;2;27;38
157;2;41;172
158;2;172;198
159;2;47;197
160;2;172;196
161;2;45;199
162;2;175;222
163;2;175;225
164;2;288;293
165;2;288;290
166;2;224;278
167;2;60;224
168;2;2;5
169;2;1;216
170;2;1;205
171;2;174;205
172;2;1;230
173;2;294;295
174;2;188;296
175;2;2;209
176;2;26;209
177;2;176;252
178;2;199;213
179;2;212;219
180;2;2;208
181;2;27;219
182;2;27;208
183;1;219
184;2;176;208
185;2;26;208
186;1;212
187;2;43;199
188;2;43;44
189;2;22;55
190;2;25;29
191;2;30;31
192;2;25;31
193;2;28;30
194;2;25;28
195;2;43;55
196;2;0;59
197;1;59
198;1;158
199;2;158;165
200;2;59;247
201;2;158;247
202;1;0
203;1;63
204;2;63;247
205;2;59;158
206;2;215;227
207;2;124;290
208;2;61;263
209;2;61;290
210;2;131;237
211;2;237;242
212;2;132;240
213;2;133;243
214;2;162;271
215;2;130;142
216;2;130;140
217;2;141;142
218;2;134;140
219;2;141;149
220;2;98;233
221;2;109;110
222;1;233
223;2;228;268
224;2;164;268
225;2;237;268
226;2;233;268
227;1;74
228;1;71
229;2;73;99
230;2;70;99
231;1;99
232;2;99;248
233;2;248;274
234;2;73;248
235;2;65;227
236;2;170;201
237;2;201;225
238;2;178;225
239;1;85
240;2;171;225
241;1;1
242;1;5
243;2;1;182
244;2;5;182
245;2;1;174
246;2;1;214
247;2;1;231
248;2;1;5
249;1;136
250;2;269;306
251;2;301;306
252;2;188;301
253;2;297;306
254;2;146;306
255;2;188;304
256;2;146;301
257;2;147;274
258;2;146;148
259;2;146;297
260;2;151;277
261;2;270;294
262;2;145;294
263;2;153;273
264;2;147;270
265;2;147;273
266;2;227;284
267;2;0;211
268;2;0;212
269;2;158;256
270;2;0;252
271;2;158;217
272;2;0;256
273;1;77
274;2;75;179
275;2;75;77
276;2;34;180
277;2;33;34
278;2;39;180
279;2;33;39
280;2;35;180
281;2;33;35
282;2;39;79
283;2;34;35
284;2;59;217
285;2;4;218
286;2;4;59
287;2;59;165
288;2;81;85
289;2;85;200
290;2;45;200
291;2;45;201
292;1;80
293;1;86
294;2;81;83
295;2;83;86
296;2;81;84
297;2;83;84
298;2;13;252
299;2;13;249
300;2;48;86
301;2;84;86
302;1;39
303;2;27;39
304;2;27;29
305;1;39
306;2;26;27
307;1;27
308;2;29;39
309;2;15;52
310;2;17;52
311;2;14;29
312;2;16;29
313;2;15;55
314;2;17;55
315;2;21;55
316;2;29;30
317;1;29
318;2;121;187
319;2;113;116
320;2;111;121
321;2;114;116
322;1;187
323;2;111;114
324;1;282
325;1;87
326;2;281;282
