Id;Marker;Active;X;Y;Z
0;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;9;1;2.0000000000000001e-01;0.0000000000000000e+00;0.0000000000000000e+00
2;9;1;4.0000000000000002e-01;0.0000000000000000e+00;0.0000000000000000e+00
3;9;1;4.0020000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
4;9;1;5.9999999999999998e-01;0.0000000000000000e+00;0.0000000000000000e+00
5;9;1;8.0000000000000004e-01;0.0000000000000000e+00;0.0000000000000000e+00
6;2;1;1.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
7;12;1;0.0000000000000000e+00;2.0000000000000001e-01;0.0000000000000000e+00
8;21;1;2.0000000000000001e-01;2.0000000000000001e-01;0.0000000000000000e+00
9;21;1;4.0000000000000002e-01;2.0000000000000001e-01;0.0000000000000000e+00
10;21;1;4.0020000000000000e-01;2.0000000000000001e-01;0.0000000000000000e+00
11;21;1;5.9999999999999998e-01;2.0000000000000001e-01;0.0000000000000000e+00
12;21;1;8.0000000000000004e-01;2.0000000000000001e-01;0.0000000000000000e+00
13;10;1;1.0000000000000000e+00;2.0000000000000001e-01;0.0000000000000000e+00
14;12;1;0.0000000000000000e+00;4.0000000000000002e-01;0.0000000000000000e+00
15;21;1;2.0000000000000001e-01;4.0000000000000002e-01;0.0000000000000000e+00
16;21;1;4.0000000000000002e-01;4.0000000000000002e-01;0.0000000000000000e+00
17;21;1;4.0020000000000000e-01;4.0000000000000002e-01;0.0000000000000000e+00
18;21;1;5.9999999999999998e-01;4.0000000000000002e-01;0.0000000000000000e+00
19;21;1;8.0000000000000004e-01;4.0000000000000002e-01;0.0000000000000000e+00
20;10;1;1.0000000000000000e+00;4.0000000000000002e-01;0.0000000000000000e+00
21;12;1;0.0000000000000000e+00;5.9999999999999998e-01;0.0000000000000000e+00
22;21;1;2.0000000000000001e-01;5.9999999999999998e-01;0.0000000000000000e+00
23;21;1;4.0000000000000002e-01;5.9999999999999998e-01;0.0000000000000000e+00
24;21;1;4.0020000000000000e-01;5.9999999999999998e-01;0.0000000000000000e+00
25;21;1;5.9999999999999998e-01;5.9999999999999998e-01;0.0000000000000000e+00
26;21;1;8.0000000000000004e-01;5.9999999999999998e-01;0.0000000000000000e+00
27;10;1;1.0000000000000000e+00;5.9999999999999998e-01;0.0000000000000000e+00
28;12;1;0.0000000000000000e+00;8.0000000000000004e-01;0.0000000000000000e+00
29;21;1;2.0000000000000001e-01;8.0000000000000004e-01;0.0000000000000000e+00
30;21;1;4.0000000000000002e-01;8.0000000000000004e-01;0.0000000000000000e+00
31;21;1;4.0020000000000000e-01;8.0000000000000004e-01;0.0000000000000000e+00
32;21;1;5.9999999999999998e-01;8.0000000000000004e-01;0.0000000000000000e+00
33;21;1;8.0000000000000004e-01;8.0000000000000004e-01;0.0000000000000000e+00
34;10;1;1.0000000000000000e+00;8.0000000000000004e-01;0.0000000000000000e+00
35;4;1;0.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00
36;11;1;2.0000000000000001e-01;1.0000000000000000e+00;0.0000000000000000e+00
37;11;1;4.0000000000000002e-01;1.0000000000000000e+00;0.0000000000000000e+00
38;11;1;4.0020000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
39;11;1;5.9999999999999998e-01;1.0000000000000000e+00;0.0000000000000000e+00
40;11;1;8.0000000000000004e-01;1.0000000000000000e+00;0.0000000000000000e+00
41;3;1;1.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00
42;17;1;0.0000000000000000e+00;0.0000000000000000e+00;2.0000000000000001e-01
43;25;1;2.0000000000000001e-01;0.0000000000000000e+00;2.0000000000000001e-01
44;25;1;4.0000000000000002e-01;0.0000000000000000e+00;2.0000000000000001e-01
45;25;1;4.0020000000000000e-01;0.0000000000000000e+00;2.0000000000000001e-01
46;25;1;5.9999999999999998e-01;0.0000000000000000e+00;2.0000000000000001e-01
47;25;1;8.0000000000000004e-01;0.0000000000000000e+00;2.0000000000000001e-01
48;18;1;1.0000000000000000e+00;0.0000000000000000e+00;2.0000000000000001e-01
49;23;1;0.0000000000000000e+00;2.0000000000000001e-01;2.0000000000000001e-01
50;0;1;2.0000000000000001e-01;2.0000000000000001e-01;2.0000000000000001e-01
51;0;1;4.0000000000000002e-01;2.0000000000000001e-01;2.0000000000000001e-01
52;0;1;4.0020000000000000e-01;2.0000000000000001e-01;2.0000000000000001e-01
53;0;1;5.9999999999999998e-01;2.0000000000000001e-01;2.0000000000000001e-01
54;0;1;8.0000000000000004e-01;2.0000000000000001e-01;2.0000000000000001e-01
55;24;1;1.0000000000000000e+00;2.0000000000000001e-01;2.0000000000000001e-01
56;23;1;0.0000000000000000e+00;4.0000000000000002e-01;2.0000000000000001e-01
57;0;1;2.0000000000000001e-01;4.0000000000000002e-01;2.0000000000000001e-01
