Id;Marker;Active;X;Y;Z
0;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;1;1;1.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
2;1;1;1.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00
3;1;1;0.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00
4;1;1;0.0000000000000000e+00;0.0000000000000000e+00;1.0000000000000000e+00
5;1;1;1.0000000000000000e+00;0.0000000000000000e+00;1.0000000000000000e+00
6;1;1;1.0000000000000000e+00;1.0000000000000000e+00;1.0000000000000000e+00
7;1;1;0.0000000000000000e+00;1.0000000000000000e+00;1.0000000000000000e+00
8;1;1;5.0000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
9;1;1;1.0000000000000000e+00;5.0000000000000000e-01;0.0000000000000000e+00
10;1;1;5.0000000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
11;1;1;0.0000000000000000e+00;5.0000000000000000e-01;0.0000000000000000e+00
12;1;1;5.0000000000000000e-01;0.0000000000000000e+00;1.0000000000000000e+00
13;1;1;1.0000000000000000e+00;5.0000000000000000e-01;1.0000000000000000e+00
14;1;1;5.0000000000000000e-01;1.0000000000000000e+00;1.0000000000000000e+00
15;1;1;0.0000000000000000e+00;5.0000000000000000e-01;1.0000000000000000e+00
16;1;1;0.0000000000000000e+00;1.0000000000000000e+00;5.0000000000000000e-01
17;1;1;0.0000000000000000e+00;0.0000000000000000e+00;5.0000000000000000e-01
18;1;1;1.0000000000000000e+00;1.0000000000000000e+00;5.0000000000000000e-01
19;1;1;1.0000000000000000e+00;0.0000000000000000e+00;5.0000000000000000e-01
20;1;1;2.5000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
21;1;1;7.5000000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
22;1;1;1.0000000000000000e+00;7.5000000000000000e-01;0.0000000000000000e+00
23;1;1;2.5000000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
24;1;1;0.0000000000000000e+00;2.5000000000000000e-01;0.0000000000000000e+00
25;1;1;7.5000000000000000e-01;0.0000000000000000e+00;1.0000000000000000e+00
26;1;1;1.0000000000000000e+00;7.5000000000000000e-01;1.0000000000000000e+00
27;1;1;2.5000000000000000e-01;1.0000000000000000e+00;1.0000000000000000e+00
28;1;1;0.0000000000000000e+00;2.5000000000000000e-01;1.0000000000000000e+00
29;1;1;0.0000000000000000e+00;1.0000000000000000e+00;7.5000000000000000e-01
30;1;1;0.0000000000000000e+00;0.0000000000000000e+00;2.5000000000000000e-01
31;1;1;1.0000000000000000e+00;1.0000000000000000e+00;7.5000000000000000e-01
32;1;1;1.0000000000000000e+00;0.0000000000000000e+00;2.5000000000000000e-01
33;1;1;3.7500000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
34;1;1;8.7500000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
35;1;1;1.0000000000000000e+00;8.7500000000000000e-01;0.0000000000000000e+00
36;1;1;1.2500000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
37;1;1;0.0000000000000000e+00;1.2500000000000000e-01;0.0000000000000000e+00
38;1;1;8.7500000000000000e-01;0.0000000000000000e+00;1.0000000000000000e+00
39;1;1;1.0000000000000000e+00;8.7500000000000000e-01;1.0000000000000000e+00
40;1;1;1.2500000000000000e-01;1.0000000000000000e+00;1.0000000000000000e+00
41;1;1;0.0000000000000000e+00;1.2500000000000000e-01;1.0000000000000000e+00
42;1;1;0.0000000000000000e+00;1.0000000000000000e+00;8.7500000000000000e-01
43;1;1;0.0000000000000000e+00;0.0000000000000000e+00;1.2500000000000000e-01
44;1;1;1.0000000000000000e+00;1.0000000000000000e+00;8.7500000000000000e-01
45;1;1;1.0000000000000000e+00;0.0000000000000000e+00;1.2500000000000000e-01
46;1;1;1.0000000000000000e+00;2.5000000000000000e-01;0.0000000000000000e+00
47;1;1;7.5000000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
48;1;1;0.0000000000000000e+00;7.5000000000000000e-01;0.0000000000000000e+00
49;1;1;2.5000000000000000e-01;0.0000000000000000e+00;1.0000000000000000e+00
50;1;1;1.0000000000000000e+00;2.5000000000000000e-01;1.0000000000000000e+00
51;1;1;7.5000000000000000e-01;1.0000000000000000e+00;1.0000000000000000e+00
52;1;1;0.0000000000000000e+00;7.5000000000000000e-01;1.0000000000000000e+00
53;1;1;0.0000000000000000e+00;1.0000000000000000e+00;2.5000000000000000e-01
54;1;1;0.0000000000000000e+00;0.0000000000000000e+00;7.5000000000000000e-01
55;1;1;1.0000000000000000e+00;1.0000000000000000e+00;2.5000000000000000e-01
56;1;1;1.0000000000000000e+00;0.0000000000000000e+00;7.5000000000000000e-01
57;1;1;1.2500000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
58;1;1;6.2500000000000000e-01;0.0000000000000000e+00;0.0000000000000000e+00
59;1;1;1.0000000000000000e+00;6.2500000000000000e-01;0.0000000000000000e+00
60;1;1;3.7500000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
61;1;1;0.0000000000000000e+00;3.7500000000000000e-01;0.0000000000000000e+00
62;1;1;6.2500000000000000e-01;0.0000000000000000e+00;1.0000000000000000e+00
63;1;1;1.0000000000000000e+00;6.2500000000000000e-01;1.0000000000000000e+00
64;1;1;3.7500000000000000e-01;1.0000000000000000e+00;1.0000000000000000e+00
65;1;1;0.0000000000000000e+00;3.7500000000000000e-01;1.0000000000000000e+00
66;1;1;0.0000000000000000e+00;1.0000000000000000e+00;6.2500000000000000e-01
67;1;1;0.0000000000000000e+00;0.0000000000000000e+00;3.7500000000000000e-01
68;1;1;1.0000000000000000e+00;1.0000000000000000e+00;6.2500000000000000e-01
69;1;1;1.0000000000000000e+00;0.0000000000000000e+00;3.7500000000000000e-01
70;1;1;8.7500000000000000e-01;1.0000000000000000e+00;1.0000000000000000e+00
71;1;1;1.0000000000000000e+00;3.7500000000000000e-01;1.0000000000000000e+00
72;1;1;1.0000000000000000e+00;1.2500000000000000e-01;1.0000000000000000e+00
73;1;1;3.7500000000000000e-01;0.0000000000000000e+00;1.0000000000000000e+00
74;1;1;1.2500000000000000e-01;0.0000000000000000e+00;1.0000000000000000e+00
75;1;1;0.0000000000000000e+00;6.2500000000000000e-01;0.0000000000000000e+00
76;1;1;0.0000000000000000e+00;8.7500000000000000e-01;0.0000000000000000e+00
77;1;1;6.2500000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
78;1;1;8.7500000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
79;1;1;1.0000000000000000e+00;3.7500000000000000e-01;0.0000000000000000e+00
80;1;1;1.0000000000000000e+00;1.2500000000000000e-01;0.0000000000000000e+00
81;1;1;6.2500000000000000e-01;1.0000000000000000e+00;1.0000000000000000e+00
82;1;1;0.0000000000000000e+00;8.7500000000000000e-01;1.0000000000000000e+00
83;1;1;0.0000000000000000e+00;6.2500000000000000e-01;1.0000000000000000e+00
84;1;1;0.0000000000000000e+00;1.0000000000000000e+00;3.7500000000000000e-01
85;1;1;0.0000000000000000e+00;0.0000000000000000e+00;6.2500000000000000e-01
86;1;1;1.0000000000000000e+00;1.0000000000000000e+00;3.7500000000000000e-01
87;1;1;1.0000000000000000e+00;0.0000000000000000e+00;6.2500000000000000e-01
88;1;1;0.0000000000000000e+00;1.0000000000000000e+00;1.2500000000000000e-01
89;1;1;0.0000000000000000e+00;0.0000000000000000e+00;8.7500000000000000e-01
90;1;1;1.0000000000000000e+00;1.0000000000000000e+00;1.2500000000000000e-01
91;1;1;1.0000000000000000e+00;0.0000000000000000e+00;8.7500000000000000e-01
92;1;1;5.0000000000000000e-01;5.0000000000000000e-01;0.0000000000000000e+00
93;1;1;0.0000000000000000e+00;4.3750000000000000e-01;5.6250000000000000e-01
94;1;1;5.6250000000000000e-01;4.3750000000000000e-01;1.0000000000000000e+00
95;1;1;5.0000000000000000e-01;1.0000000000000000e+00;5.0000000000000000e-01
96;1;1;1.0000000000000000e+00;5.0000000000000000e-01;5.0000000000000000e-01
97;1;1;7.5000000000000000e-01;1.0000000000000000e+00;5.6250000000000000e-01
98;1;1;4.3750000000000000e-01;1.0000000000000000e+00;7.5000000000000000e-01
99;1;1;1.0000000000000000e+00;2.8125000000000000e-01;3.1250000000000000e-01
100;1;1;2.9166666666666669e-01;3.1250000000000000e-01;1.0000000000000000e+00
101;1;1;7.0312500000000000e-01;7.0312500000000000e-01;1.0000000000000000e+00
102;1;1;2.1875000000000000e-01;1.0000000000000000e+00;7.8125000000000000e-01
103;1;1;1.0000000000000000e+00;7.0833333333333326e-01;7.0833333333333326e-01
104;1;1;1.0000000000000000e+00;7.5000000000000000e-01;4.5833333333333326e-01
105;1;1;5.0000000000000000e-01;0.0000000000000000e+00;5.0000000000000000e-01
106;1;1;1.0000000000000000e+00;7.7083333333333337e-01;2.2916666666666663e-01
107;1;1;1.0000000000000000e+00;4.3750000000000000e-01;7.5000000000000000e-01
108;1;1;3.1250000000000000e-01;1.0000000000000000e+00;2.8125000000000000e-01
109;1;1;1.0000000000000000e+00;8.3541666666666670e-01;6.0104166666666659e-01
110;1;1;3.1216397849462368e-01;6.2399193548387089e-01;1.0000000000000000e+00
111;1;1;6.8750000000000000e-01;1.0000000000000000e+00;2.8125000000000000e-01
112;1;1;0.0000000000000000e+00;5.6250000000000000e-01;2.9166666666666669e-01
113;1;1;0.0000000000000000e+00;7.1837462462462454e-01;5.2787162162162160e-01
114;1;1;1.0000000000000000e+00;6.3988095238095244e-01;5.6845238095238082e-01
115;1;1;4.3750000000000000e-01;0.0000000000000000e+00;2.5000000000000000e-01
116;1;1;6.4843750000000000e-01;1.0000000000000000e+00;4.3750000000000000e-01
117;1;1;1.0000000000000000e+00;2.1875000000000000e-01;7.8125000000000000e-01
118;1;1;0.0000000000000000e+00;5.6720058046873678e-01;4.5809898585736575e-01
119;1;1;1.0000000000000000e+00;5.2221719001610312e-01;2.4836453301127215e-01
120;1;1;1.0000000000000000e+00;4.2465432743397469e-01;3.6654911799369627e-01
121;1;1;0.0000000000000000e+00;2.5625000000000003e-01;7.4375000000000002e-01
122;1;1;7.4375000000000002e-01;2.5624999999999998e-01;1.0000000000000000e+00
123;1;1;6.6487068965517238e-01;1.0000000000000000e+00;7.7478448275862077e-01
124;1;1;1.7436594202898553e-01;1.7436594202898553e-01;1.0000000000000000e+00
125;1;1;1.0000000000000000e+00;1.7187500000000000e-01;1.7187500000000000e-01
126;1;1;1.7187500000000000e-01;1.0000000000000000e+00;1.7187500000000000e-01
127;1;1;2.5000000000000000e-01;0.0000000000000000e+00;5.6250000000000000e-01
128;1;1;0.0000000000000000e+00;7.6206821692221283e-01;7.6206821692221283e-01
129;1;1;1.0000000000000000e+00;6.3979223700866128e-01;1.5157160675206405e-01
130;1;1;4.9693627450980393e-01;2.2365196078431371e-01;1.0000000000000000e+00
131;1;1;5.0000000000000000e-01;1.0000000000000000e+00;3.1026785714285715e-01
132;1;1;2.1875000000000000e-01;0.0000000000000000e+00;7.8125000000000000e-01
133;1;1;2.5000000000000000e-01;4.3750000000000000e-01;0.0000000000000000e+00
