Id;Marker;Active;Origin;End
0;0;1;141;138
1;24;1;141;46
2;10;1;79;46
3;21;1;79;138
4;24;1;79;141
5;21;1;46;138
6;0;1;205;159
7;0;1;205;146
8;22;1;100;146
9;0;1;100;159
10;0;1;100;205
11;0;1;146;159
12;0;1;198;139
13;0;1;198;134
14;21;1;92;134
15;21;1;92;139
16;0;1;92;198
17;21;1;134;139
18;0;1;202;195
19;0;1;202;113
20;23;1;164;113
21;0;1;164;195
22;0;1;164;202
23;0;1;113;195
24;0;1;205;179
25;0;1;205;160
26;0;1;127;160
27;25;1;127;179
28;0;1;127;205
29;0;1;160;179
30;0;1;209;203
31;0;1;209;189
32;0;1;196;189
33;0;1;196;203
34;0;1;196;209
35;0;1;189;203
36;24;1;117;91
37;0;1;117;38
38;22;1;72;38
39;24;1;72;91
40;24;1;72;117
41;25;1;38;91
42;0;1;209;198
43;0;1;120;196
44;0;1;120;198
45;0;1;120;209
46;0;1;196;198
47;0;1;122;117
48;22;1;122;38
49;22;1;72;122
50;22;1;151;150
51;0;1;151;123
52;0;1;101;123
53;22;1;101;150
54;22;1;101;151
55;0;1;123;150
56;25;1;148;145
57;25;1;148;87
58;24;1;117;87
59;0;1;117;145
60;0;1;117;148
61;25;1;87;145
62;0;1;209;208
63;0;1;209;197
64;0;1;114;197
65;0;1;114;208
66;0;1;114;209
67;0;1;197;208
68;0;1;177;124
69;25;1;177;73
70;13;1;49;73
71;22;1;49;124
72;25;1;49;177
73;22;1;73;124
74;0;1;212;204
75;0;1;212;169
76;21;1;186;169
77;0;1;186;204
78;0;1;186;212
79;0;1;169;204
80;0;1;210;201
81;0;1;210;153
82;25;1;105;153
83;0;1;105;201
84;0;1;105;210
85;0;1;153;201
86;0;1;212;202
87;0;1;212;140
88;0;1;178;140
89;0;1;178;202
90;0;1;178;212
91;0;1;140;202
92;0;1;143;107
93;22;1;143;71
94;14;1;13;71
95;24;1;13;107
96;22;1;13;143
97;24;1;71;107
98;0;1;206;187
99;0;1;206;155
100;26;1;111;155
101;0;1;111;187
102;0;1;111;206
103;0;1;155;187
104;25;1;57;43
105;9;1;57;0
106;12;1;37;0
107;23;1;37;43
108;21;1;37;57
109;17;1;0;43
110;24;1;141;9
111;21;1;135;9
112;21;1;135;138
113;0;1;135;141
114;21;1;9;138
115;26;1;178;53
116;20;1;84;53
117;23;1;84;140
118;26;1;84;178
119;23;1;53;140
120;0;1;205;177
121;22;1;130;100
122;0;1;130;177
123;0;1;130;205
124;0;1;100;177
125;22;1;122;50
126;14;1;71;50
127;24;1;71;117
128;22;1;71;122
129;24;1;50;117
130;0;1;124;121
131;22;1;124;41
132;23;1;89;41
133;23;1;89;121
134;0;1;89;124
135;23;1;41;121
136;0;1;155;106
137;26;1;155;86
138;19;1;55;86
139;24;1;55;106
140;26;1;55;155
141;24;1;86;106
142;0;1;207;205
143;0;1;207;201
144;0;1;93;201
145;0;1;93;205
146;0;1;93;207
147;0;1;201;205
148;23;1;121;93
149;23;1;121;160
150;0;1;121;205
151;23;1;93;160
152;0;1;201;199
153;0;1;201;198
154;0;1;134;199
155;0;1;134;201
156;0;1;198;199
157;0;1;209;200
158;0;1;209;158
159;24;1;104;158
160;0;1;104;200
161;0;1;104;209
162;0;1;158;200
163;0;1;109;97
164;24;1;109;18
165;19;1;68;18
166;26;1;68;97
167;24;1;68;109
168;26;1;18;97
169;0;1;163;156
170;21;1;163;57
171;0;1;37;156
172;21;1;37;163
173;25;1;57;156
174;22;1;74;41
175;25;1;74;89
176;22;1;74;124
177;25;1;148;56
178;18;1;91;56
179;25;1;91;148
180;24;1;56;117
181;23;1;118;113
182;23;1;118;140
183;0;1;118;202
184;23;1;113;140
185;0;1;198;141
186;0;1;198;135
187;0;1;138;198
188;0;1;211;203
189;0;1;211;196
190;0;1;145;196
191;0;1;145;203
192;0;1;145;211
193;0;1;209;107
194;0;1;203;107
195;0;1;203;208
196;0;1;107;208
197;23;1;160;85
198;23;1;121;85
199;0;1;121;127
200;25;1;85;127
201;22;1;124;100
202;22;1;65;100
203;23;1;65;121
204;22;1;65;124
205;0;1;100;121
206;0;1;198;194
207;21;1;167;92
208;0;1;167;194
209;0;1;167;198
210;0;1;92;194
211;0;1;136;129
212;0;1;136;106
213;24;1;22;106
214;24;1;22;129
215;21;1;22;136
216;24;1;106;129
217;0;1;200;106
218;24;1;86;104
219;0;1;86;200
220;24;1;104;106
221;0;1;212;206
222;0;1;212;194
223;0;1;162;194
224;0;1;162;206
225;0;1;162;212
226;0;1;194;206
227;0;1;146;121
228;22;1;146;65
229;0;1;190;188
230;24;1;190;171
231;24;1;19;171
232;25;1;19;188
233;24;1;19;190
234;0;1;171;188
235;25;1;132;127
236;0;1;132;121
237;25;1;85;132
238;0;1;195;172
239;0;1;195;128
240;23;1;164;128
241;0;1;164;172
242;0;1;128;172
243;0;1;209;119
244;24;1;158;119
245;0;1;119;200
246;0;1;132;124
247;25;1;132;74
248;25;1;89;132
249;23;1;160;17
250;17;1;85;17
251;25;1;17;127
252;0;1;203;130
253;0;1;203;94
254;22;1;122;94
255;22;1;122;130
256;0;1;122;203
257;22;1;94;130
258;22;1;154;82
259;0;1;154;42
260;26;1;40;42
261;22;1;40;82
262;22;1;40;154
263;23;1;42;82
264;24;1;96;189
265;0;1;96;196
266;0;1;96;209
267;0;1;204;201
268;0;1;204;182
269;23;1;157;182
270;0;1;157;201
271;0;1;157;204
272;0;1;182;201
273;21;1;136;35
274;10;1;22;35
275;24;1;35;106
276;0;1;207;195
277;0;1;207;183
278;23;1;113;183
279;0;1;113;207
280;0;1;183;195
281;0;1;210;209
282;0;1;210;198
283;0;1;196;210
284;0;1;199;174
285;0;1;199;32
286;24;1;125;32
287;0;1;125;174
288;0;1;125;199
289;25;1;32;174
290;0;1;195;173
291;0;1;154;128
292;0;1;154;173
293;0;1;154;195
294;23;1;128;173
295;0;1;208;103
296;24;1;109;103
297;24;1;109;114
298;0;1;109;208
299;24;1;103;114
300;0;1;195;147
301;0;1;195;110
302;22;1;144;110
303;22;1;144;147
304;0;1;144;195
305;22;1;110;147
306;24;1;119;9
307;0;1;119;135
308;24;1;119;141
309;19;1;90;55
310;24;1;90;106
311;26;1;90;155
312;0;1;155;136
313;0;1;35;155
314;0;1;204;139
315;0;1;204;92
316;21;1;133;92
317;21;1;133;139
318;0;1;133;204
319;25;1;43;156
320;0;1;212;175
321;23;1;140;175
322;0;1;140;204
323;0;1;175;204
324;23;1;128;113
325;23;1;128;183
326;25;1;181;105
327;0;1;181;201
328;0;1;181;210
329;14;1;50;72
330;24;1;80;45
331;10;1;80;1
332;9;1;34;1
333;25;1;34;45
334;21;1;34;80
335;18;1;1;45
336;0;1;205;132
337;0;1;124;205
338;0;1;197;123
339;0;1;197;95
340;26;1;97;95
341;26;1;97;123
342;0;1;97;197
343;26;1;95;123
344;0;1;208;149
345;0;1;143;149
346;0;1;143;208
347;24;1;107;149
348;0;1;195;180
349;0;1;195;102
350;26;1;98;102
351;0;1;98;180
352;0;1;98;195
353;0;1;102;180
354;24;1;109;104
355;0;1;97;104
356;24;1;18;104
357;23;1;88;76
358;26;1;88;36
359;11;1;3;36
360;12;1;3;76
361;20;1;3;88
362;21;1;36;76
363;24;1;189;107
364;24;1;171;120
365;24;1;171;189
366;0;1;171;196
367;24;1;120;189
368;25;1;184;174
369;0;1;184;168
370;21;1;21;168
371;25;1;21;174
372;25;1;21;184
373;0;1;168;174
374;26;1;70;44
375;22;1;70;39
376;14;1;6;39
377;19;1;6;44
378;15;1;6;70
379;24;1;39;44
380;0;1;213;209
381;0;1;213;203
382;0;1;208;213
383;24;1;149;63
384;14;1;13;63
385;24;1;13;149
386;22;1;63;143
387;0;1;202;162
388;26;1;142;162
389;26;1;142;178
390;0;1;142;202
391;26;1;162;178
392;0;1;194;202
393;24;1;104;114
394;24;1;114;158
395;0;1;184;134
396;21;1;58;134
397;21;1;58;168
398;25;1;58;184
399;21;1;134;168
400;26;1;172;16
401;20;1;66;16
402;23;1;66;164
403;26;1;66;172
404;23;1;16;164
405;22;1;151;81
406;15;1;14;81
407;26;1;14;123
408;22;1;14;151
409;26;1;81;123
410;0;1;197;98
411;26;1;95;98
412;26;1;98;123
413;0;1;199;188
414;25;1;174;188
415;25;1;32;188
416;0;1;163;157
417;0;1;163;182
418;0;1;163;201
419;0;1;199;138
420;0;1;141;199
421;15;1;7;40
422;20;1;7;42
423;16;1;7;82
424;0;1;197;161
425;0;1;109;161
426;0;1;109;197
427;26;1;97;161
428;0;1;182;133
429;23;1;182;11
430;12;1;61;11
431;21;1;61;133
432;23;1;61;182
433;21;1;11;133
434;24;1;107;117
435;0;1;107;122
436;26;1;172;142
437;26;1;16;142
438;0;1;142;164
439;0;1;161;150
440;26;1;161;44
441;24;1;103;44
442;0;1;103;150
443;0;1;103;161
444;0;1;44;150
445;22;1;180;151
446;22;1;180;14
447;26;1;98;14
448;0;1;98;151
449;0;1;186;175
450;21;1;186;48
451;21;1;170;48
452;0;1;170;175
453;21;1;170;186
454;23;1;48;175
455;0;1;171;145
456;24;1;171;87
457;18;1;19;87
458;25;1;19;145
459;26;1;108;178
460;0;1;108;202
461;0;1;108;212
462;26;1;162;108
463;24;1;35;90
464;17;1;89;4
465;16;1;41;4
466;13;1;4;74
467;26;1;90;78
468;10;1;2;35
469;11;1;2;78
470;19;1;2;90
471;21;1;35;78
472;18;1;91;5
473;13;1;38;5
474;14;1;5;72
475;22;1;150;70
476;22;1;39;150
477;0;1;207;204
478;0;1;207;202
479;0;1;118;204
480;0;1;118;207
481;0;1;202;204
482;23;1;121;159
483;0;1;203;166
484;22;1;122;166
485;22;1;130;166
486;22;1;124;28
487;16;1;41;28
488;23;1;28;121
489;0;1;104;197
490;0;1;199;45
491;25;1;34;174
492;0;1;34;199
493;25;1;45;174
494;26;1;155;78
495;0;1;175;126
496;23;1;175;88
497;0;1;76;126
498;23;1;76;175
499;26;1;88;126
500;0;1;205;193
501;25;1;176;177
502;25;1;176;193
503;0;1;176;205
504;25;1;177;193
505;24;1;39;103
506;0;1;143;203
507;0;1;199;196
508;0;1;199;99
509;24;1;190;99
510;0;1;190;196
511;0;1;190;199
512;0;1;99;196
513;26;1;36;126
514;25;1;177;132
515;25;1;49;132
516;0;1;200;198
517;0;1;200;135
518;21;1;167;135
519;0;1;167;200
520;0;1;211;130
521;0;1;94;211
522;0;1;201;185
523;0;1;201;156
524;25;1;115;156
525;0;1;115;185
526;0;1;115;201
527;0;1;156;185
528;0;1;206;92
529;21;1;169;92
530;0;1;169;194
531;0;1;169;206
532;10;1;9;79
533;0;1;202;172
534;0;1;142;195
535;0;1;208;150
536;24;1;149;103
537;0;1;149;150
538;0;1;210;204
539;0;1;198;204
540;24;1;129;158
541;0;1;129;200
542;24;1;106;158
